#{"t_start": 1780407765.2296855, "env_id": "LunarLander-v3"}
r,l,t
-203.840318,68,0.091892
-150.140843,116,0.200286
-268.312091,107,0.2963
-109.669758,89,0.376459
-118.156802,64,0.436269
-438.487986,110,0.540484
-225.91178,63,0.598836
-132.271097,110,0.70183
-194.202972,64,0.761267
-191.547616,97,0.851033
-89.2453,84,0.928668
-22.594241,115,1.038046
-371.004018,99,1.125672
-286.482893,84,1.202886
-153.240741,76,1.273477
-255.323078,139,1.407233
-422.573332,98,1.497822
-149.215957,85,1.578838
-386.291098,100,1.67176
28.466444,87,1.75525
-111.24307,63,1.812483
-59.613732,63,1.875357
-120.797471,89,5.497534
-89.110786,115,5.601091
-127.833211,96,5.691103
-105.54099,91,5.772774
-56.441586,93,5.859918
-256.220712,115,5.970216
-273.523321,116,6.077982
-101.071794,138,6.20945
-65.851243,57,6.262326
-239.391918,122,6.375502
-118.338228,87,6.455074
-407.838966,106,6.555777
-121.656296,85,6.631922
9.772992,103,6.725767
-108.277284,70,6.791478
-115.635154,86,6.872384
-188.694941,111,6.97323
-112.906408,117,7.084174
-180.352303,86,7.160811
-88.936155,63,7.218326
-117.998305,73,7.283272
-97.513643,63,7.33941
-116.443397,66,10.794464
-175.516321,103,10.892571
-38.03912,78,10.968508
-33.261858,71,11.03666
-323.716609,122,11.151744
-185.057245,113,11.257715
-97.037328,64,11.321769
-180.349632,140,11.457144
-87.750701,69,11.520593
-74.905859,81,11.600232
-102.746905,96,11.695412
-117.16395,205,11.895059
-158.005127,109,11.999258
-83.900419,89,12.084884
-72.939715,79,12.159935
-99.525493,93,12.248167
-96.527554,77,12.322051
-125.970661,164,12.48266
-83.382296,89,12.567485
-62.747182,59,12.621055
-132.063078,83,12.700175
-96.000797,171,16.283304
-68.395581,68,16.350759
-49.47519,134,16.487079
12.123916,137,16.634466
-75.426083,82,16.715194
-118.706897,106,16.823468
-71.048188,166,17.00687
-106.133071,137,17.150947
-280.061589,121,17.278409
-100.435615,99,17.377375
-195.020679,135,17.513261
-51.635772,84,17.602835
-11.763738,140,17.73943
-109.289231,82,17.81966
-95.228841,126,18.012585
-147.268811,144,18.173933
-52.321925,104,18.280191
-50.562275,100,21.859117
-44.253665,112,22.002554
-36.540787,112,22.113284
-103.13117,146,22.260355
-160.617193,120,22.394129
-82.507469,123,22.52634
-37.07088,101,22.639321
-100.392458,128,22.771924
-44.51186,121,22.897648
-55.624731,81,22.982552
-37.381047,139,23.126651
-57.799864,108,23.240775
-16.086047,78,23.322168
-52.589056,134,23.461195
-39.323788,95,23.563914
-60.956987,117,23.689645
-54.087356,184,23.886992
-72.792789,179,27.464433
-19.388491,132,27.604377
-87.092769,78,27.686647
-55.274976,153,27.85571
-50.85682,157,28.027095
-41.149369,101,28.139819
-15.138942,125,28.281887
-75.548689,180,28.487304
-97.211618,172,28.680069
-36.756182,144,28.83395
-30.915132,93,28.930345
-19.406721,127,29.075049
-49.681005,92,29.177363
-94.25251,206,29.414111
-86.44382,130,29.563206
-17.218232,157,34.400148
-36.279891,147,34.723285
-107.892991,179,35.117671
21.071382,107,35.358406
4.954849,139,35.64946
-63.612243,139,35.95255
-55.132887,185,36.365588
22.875197,144,36.671969
-47.452324,72,36.824755
-60.176846,242,37.372233
6.559668,121,37.627747
-14.32794,169,37.987205
-5.439316,164,38.317805
-27.296921,200,42.061066
-58.223846,195,42.315919
67.781289,215,42.698561
-51.343893,223,43.321587
-11.38422,1000,46.204098
-38.846918,146,46.53067
-22.081306,213,47.10294
-54.447611,326,51.189037
52.183377,156,51.463613
-22.528579,142,51.75044
117.500166,1000,54.636345
5.961891,243,55.781616
101.030116,1000,62.334346
111.442599,1000,65.831443
134.52126,1000,72.868562
117.396296,1000,77.606742
24.359761,295,82.109493
221.676122,462,83.920082
129.545478,1000,88.432922
57.232396,1000,95.549868
129.994952,1000,99.608668
-7.1599,276,100.564881
104.374043,1000,108.205544
132.948726,1000,112.899529
23.52127,264,114.104055
85.495802,1000,122.06011
134.795972,1000,126.141878
125.042676,1000,133.638788
42.771755,241,134.483932
118.326811,1000,141.475753
174.039983,1000,144.384457
7.696208,221,145.119619
-8.747199,254,145.971292
161.765401,1000,153.124048
151.548612,1000,156.188338
150.635882,1000,163.165333
6.717583,191,163.6911
259.263774,464,165.062863
128.958098,1000,170.264044
235.740543,543,175.540851
12.636487,244,176.32967
134.718155,1000,179.905009
250.259293,537,184.835377
225.861327,307,185.622328
179.246505,1000,188.022867
237.040978,365,188.898317
272.792704,347,192.89098
258.896208,316,193.567389
267.019554,297,194.172997
105.64582,1000,196.513216
283.783051,302,200.497376
250.139032,269,200.984458
268.288538,267,201.486409
244.902823,385,202.401828
265.399747,319,203.261135
35.905391,222,203.748624
242.295806,271,204.306334
8.838626,206,208.180164
136.722731,1000,210.382585
280.443322,342,211.215454
273.269806,256,211.785094
275.265716,299,212.336755
-13.149101,201,215.996468
35.454458,259,216.410635
248.531635,656,217.66542
250.350224,253,218.080286
276.629442,240,218.569037
273.649705,249,219.026888
29.124611,193,219.39491
274.509796,282,223.191899
264.171262,292,223.682986
66.490359,221,224.046974
257.087208,244,224.469912
275.366346,440,225.295443
233.274827,285,225.75052
43.234377,198,226.05459
305.074172,689,230.613111
28.941892,233,231.002397
237.694257,377,231.601909
122.010028,1000,236.616504
43.381211,181,236.910778
153.698358,1000,238.673227
283.92179,240,239.03768
32.915866,197,239.399082
256.984967,267,239.864586
241.782856,305,243.648029
255.150192,238,244.033934
255.110973,255,244.448908
-2.020936,214,244.771172
274.736618,234,245.171129
259.123464,247,245.551219
245.620745,268,245.963608
288.01129,303,246.437558
280.226542,357,250.406569
50.106191,186,250.772366
249.949302,290,251.334003
269.950523,277,251.870059
293.094725,342,252.450058
263.42778,253,252.875836
283.464966,245,253.305891
274.625475,291,257.176097
296.017437,258,257.719186
244.141615,254,258.194028
254.120952,261,258.607645
299.83936,287,259.155289
