#{"t_start": 1780408254.8186383, "env_id": "LunarLander-v3"}
r,l,t
-364.164303,96,0.090225
-102.86695,85,0.169494
-87.115575,74,0.234602
-270.289898,91,0.315633
-319.069727,84,0.391092
-109.958384,125,0.505955
-31.272365,106,0.600351
-17.363014,135,0.724104
-96.85178,76,0.791826
-57.209319,81,0.863512
-286.139378,95,0.950774
-270.531797,71,1.016261
-79.831626,59,1.068284
-53.12322,75,1.139235
-89.848739,64,1.196707
-108.996042,98,1.288324
-102.156157,87,1.367406
-474.943058,87,1.444734
-235.765807,90,1.525762
-138.107074,56,1.576215
-196.390505,141,1.705525
-39.388658,137,1.835206
-405.865797,93,3.381475
-274.120774,98,3.470381
-158.184672,94,3.556841
-126.88133,130,3.678641
-176.865882,62,3.73665
-239.228772,146,3.870775
-77.337398,58,3.921824
-116.933725,97,4.008496
-86.890004,133,4.132008
-179.89733,122,4.244038
-163.978236,77,4.312553
-82.091266,85,4.39111
-312.142855,140,4.520054
-70.782068,95,4.606769
-365.635126,88,4.704503
-242.53992,117,4.808453
-88.289992,66,4.869134
-76.911643,65,4.925091
-104.730004,76,4.993316
-375.608189,103,5.086719
-235.537242,70,5.152034
-140.470001,72,6.653131
-95.909532,84,6.73682
-92.70688,60,6.792476
-81.300767,113,6.89855
-275.630509,113,7.001617
-195.616311,103,7.097114
-209.133656,118,7.204086
-255.261809,130,7.323129
-37.473437,91,7.405671
-231.999545,99,7.495347
-92.572949,83,7.57303
-136.253209,108,7.672266
-97.998979,70,7.734714
-108.127197,81,7.810513
-338.889171,144,7.94817
-39.868886,101,8.043871
-242.604577,103,8.137732
-89.23913,78,8.209209
-198.510299,89,8.292063
-121.513311,75,8.359796
-238.839875,124,8.476011
-131.546745,78,10.012206
-117.287715,91,10.107384
-84.523223,110,10.212499
-108.114431,140,10.342897
-217.813088,140,10.470155
-123.415169,131,10.589325
-66.37442,80,10.662414
-80.584894,68,10.725745
-113.819878,80,10.797858
-112.100727,109,10.898094
-86.08781,62,10.954502
-198.912741,116,11.061945
-70.320223,93,11.148571
-102.082155,108,11.248086
-113.429934,88,11.329733
-77.16541,79,11.405062
-136.541488,114,11.513461
-119.297918,102,11.605567
-33.09696,73,11.672112
-105.155712,116,11.783075
-108.156761,121,11.898677
-135.495804,103,13.470045
-81.705987,140,13.60188
-131.978289,95,13.689699
-72.677663,68,13.752144
-37.822503,82,13.83266
-95.404382,120,13.943367
-98.317401,70,14.009471
-108.690593,93,14.09758
-82.778057,85,14.176123
-78.554247,76,14.248623
-82.442482,137,14.381064
-81.272211,64,14.443071
-118.306208,132,14.566945
-64.456339,89,14.650769
-139.250765,105,14.749165
-67.223488,120,14.864444
-104.46546,124,14.981027
-43.776067,81,15.055335
-100.038805,73,15.121515
-80.791489,161,15.277998
-118.593756,139,16.903123
-75.189759,157,17.062487
-80.006944,113,17.16984
-76.955742,101,17.270048
-74.294891,109,17.375677
-98.281649,90,17.461443
-96.033694,135,17.595218
-82.303043,75,17.669491
-78.901977,121,17.786438
-67.051905,122,17.901688
-100.616785,118,18.013535
-94.371325,129,18.141422
-67.849245,95,18.231713
-39.58705,97,18.333128
-56.62853,69,18.398023
-77.735785,96,18.493512
-81.724505,83,18.574048
-124.014103,112,18.68159
-65.763386,105,18.783558
-93.945973,73,20.349468
-115.889129,127,20.47487
-60.950907,117,20.590911
-25.958941,134,20.721677
-34.291664,124,20.839061
-38.870218,180,21.019759
-29.405185,135,21.148686
-61.362908,131,21.280682
-25.809975,134,21.411664
-14.139334,123,21.530576
-64.661213,114,21.641876
-51.701027,138,21.780684
-48.553791,114,21.891263
-165.916238,118,22.00443
-99.877702,127,22.127706
-65.731655,85,22.211258
-106.972001,96,22.302725
-34.311038,83,23.881197
-47.683007,125,24.008227
-7.332754,98,24.108841
-22.895341,115,24.223323
-28.544105,128,24.367684
-82.925144,144,24.64075
-154.210233,144,24.994984
31.282178,101,25.263857
-65.922274,126,25.621046
-37.164137,129,26.032877
-49.606438,147,26.424754
-77.123928,111,26.632732
-38.488999,147,26.915927
10.729191,99,27.095807
-84.253555,107,27.296068
-56.688708,126,27.544967
-29.557223,97,27.72397
-2.04679,149,29.459866
-83.785114,95,29.559167
-31.599397,131,29.71047
-77.584314,141,29.915444
-68.946657,127,30.123438
-17.314626,90,30.277718
-14.536499,135,30.522901
-73.558859,123,30.75959
-31.925,134,31.017206
-101.231155,136,31.166942
-50.639356,118,31.291804
-6.428477,114,31.407378
-84.108218,156,31.566966
-88.856034,148,31.712677
-32.709412,132,31.846548
-23.510193,113,31.963732
-15.815387,150,33.678921
-32.493804,151,33.837066
-14.122896,132,33.976157
2.208303,141,34.13073
-6.796358,164,34.303367
-2.850557,92,34.4218
-84.536615,180,34.715008
-57.194313,149,34.949774
-14.329924,139,35.173936
25.540167,133,35.409016
-2.724356,143,35.683063
-12.051458,100,35.799266
-52.315503,192,36.020115
-6.504317,204,36.302341
9.252232,139,38.123374
10.674375,185,38.609874
-11.827618,167,39.169417
47.761675,133,39.699737
1.706046,153,40.351533
42.709544,187,41.073529
-18.088552,124,41.415753
26.459226,139,41.850725
33.887286,113,42.260391
0.655499,139,42.796878
-14.969874,167,43.490465
27.53281,159,44.270705
15.308771,128,45.07042
21.42279,140,47.41
3.605064,1000,51.338809
81.528595,1000,55.449582
59.162216,185,57.689685
41.799034,174,58.259544
63.212442,1000,63.112938
79.284445,1000,70.452677
-28.324577,171,71.46415
120.440684,1000,78.038579
-5.974469,207,78.82909
87.093321,1000,86.501271
110.844793,1000,92.653956
128.569395,1000,99.880217
133.504928,1000,103.879855
152.053797,1000,109.941378
-37.995109,208,110.667516
119.580973,1000,114.722126
56.144912,1000,122.132792
127.110741,1000,128.527754
134.166045,1000,135.700817
154.062146,1000,139.551272
125.038381,1000,145.277581
138.253486,1000,148.715183
150.418965,1000,155.467111
180.298414,1000,162.022572
166.216641,1000,170.121939
-14.775937,170,170.841932
168.077375,1000,176.647478
135.874972,1000,185.317415
167.445124,1000,189.852315
-25.546326,192,190.446372
140.952209,1000,195.762827
106.52165,1000,199.549354
158.202461,1000,206.445926
3.16434,217,207.529381
115.016413,1000,213.065956
207.554502,504,216.589723
156.89547,1000,220.028278
148.145816,1000,225.184623
121.557333,1000,229.092566
118.753749,1000,234.572277
136.207069,1000,238.176008
161.955091,1000,243.994457
182.691913,1000,247.294185
153.756945,1000,252.936723
125.681603,1000,256.717886
141.26542,1000,262.528705
174.771103,1000,265.771162
162.080878,1000,270.719555
28.783407,184,271.228013
41.772661,233,271.835968
158.38402,1000,275.266655
162.965074,1000,279.944395
164.126873,1000,283.470023
143.399282,1000,289.249227
156.894494,1000,294.983475
113.856807,1000,302.699756
164.959021,1000,308.086407
172.301549,1000,315.001454
195.678507,1000,319.573808
44.063371,183,320.109785
130.868043,1000,325.259431
195.322474,1000,328.198519
191.79162,1000,332.754651
165.758635,1000,335.99439
165.22968,1000,340.670316
178.338502,1000,343.982428
156.3423,1000,349.115477
146.69877,1000,351.999372
171.856166,1000,357.962244
155.01628,1000,361.109122
142.136604,1000,366.318051
210.723558,1000,371.191538
153.308641,1000,378.255884
186.309185,1000,382.732091
193.532966,1000,389.347165
259.168218,530,390.806113
165.829598,1000,393.52769
176.271513,1000,399.120574
175.111969,1000,403.505465
263.06646,513,407.254263
260.295882,685,408.969878
285.133648,532,410.096434
249.914203,446,411.073248
160.891142,1000,414.761096
258.936846,316,415.381104
259.365827,864,417.302309
285.713381,233,419.341707
273.463933,225,419.716601
293.006158,234,420.057768
294.165635,827,421.512124
273.820914,211,421.93185
283.177201,323,422.631567
263.528382,206,424.569264
234.075547,255,425.049109
286.262522,239,425.386115
272.033047,239,425.719386
273.426035,242,426.087767
267.736864,215,426.478381
251.955058,239,426.949675
245.975809,214,427.376887
270.273199,194,427.773458
256.375542,249,430.003277
244.048507,212,430.799212
232.647242,242,431.76299
296.299651,223,432.652985
266.333214,233,433.455712
286.487131,288,434.329097
284.429927,253,434.953532
164.284773,1000,439.299919
269.740575,259,439.750993
138.68466,1000,441.977869
277.397592,236,442.351633
262.912058,278,444.63612
319.986715,216,445.408109
260.744178,240,446.152107
41.817109,200,446.728902
230.807279,237,447.461389
283.609553,324,448.339824
33.980117,175,448.770739
45.174697,175,449.200004
228.873321,228,449.76602
250.43719,229,452.04027
260.270361,224,452.586748
245.275226,225,453.134514
250.838028,222,453.707111
267.507964,225,454.351236
306.927511,253,455.168791
252.876429,218,455.874631
261.066548,225,456.574982
240.035782,246,457.277435
277.565646,305,459.718633
266.344691,220,460.241234
246.345449,213,460.761659
289.705721,219,461.281862
283.996065,258,461.904955
259.229932,215,462.466573
241.990884,204,463.028858
307.287065,194,463.66843
253.737872,217,464.405722
265.859927,229,466.806207
295.9316,220,467.41382
292.446829,226,467.990582
277.673864,229,468.532632
286.446003,348,469.464528
255.691558,223,470.085679
294.359821,263,470.861748
238.782127,234,471.588933
266.979167,224,474.070261
236.655611,205,474.476087
226.961588,227,474.835813
