#{"t_start": 1780408254.8189878, "env_id": "LunarLander-v3"}
r,l,t
-82.242329,96,0.090262
-118.057687,124,0.20474
-112.556095,86,0.279231
-87.426356,118,0.385107
-238.692717,88,0.463395
-96.434421,68,0.526789
-167.711133,62,0.58298
-336.168447,95,0.670218
-67.435379,62,0.726816
-349.607663,110,0.825726
-105.503339,76,0.893518
-249.035866,92,0.978178
-86.512603,71,1.041482
-106.30096,124,1.157523
-99.31202,80,1.229229
-145.624158,93,1.315228
-187.241511,94,1.399236
-85.020739,76,1.468612
-236.676201,99,1.557658
-345.693772,133,1.678685
-347.451186,109,1.780847
-278.699306,92,1.867719
-94.280841,90,3.412049
-271.991827,105,3.505597
-209.338038,112,3.608895
-230.652485,113,3.716965
-98.550766,85,3.7949
-134.945761,92,3.878996
-82.70856,55,3.927275
-163.521497,57,3.977832
-103.409513,105,4.075644
-220.468656,119,4.183849
-185.598611,78,4.255607
-220.296258,106,4.351448
-98.837469,89,4.433152
-156.86454,95,4.521123
-231.976041,100,4.61217
-195.53863,82,4.704543
-121.747007,64,4.760182
-207.790216,94,4.845694
-340.588104,119,4.951645
-114.883967,71,5.015649
-89.736493,63,5.071811
-75.131175,66,5.1324
-129.723039,85,5.209893
-370.715715,139,6.781756
-109.21238,82,6.856298
-111.082159,76,6.927722
-151.036554,101,7.022043
-53.487363,70,7.08564
-212.657557,80,7.158509
-70.610845,65,7.217576
-130.118543,70,7.281781
-174.070702,112,7.38449
-185.821309,109,7.482471
-122.536571,72,7.549166
-110.240591,90,7.631021
-88.362728,75,7.701113
-200.304202,125,7.816451
-225.354398,119,7.928701
-73.242267,88,8.01109
-52.480419,64,8.072456
-186.043701,83,8.149719
-88.678805,88,8.230378
-89.869351,69,8.293849
-219.299808,121,8.404846
-154.789622,75,8.474489
-107.135885,103,10.037924
-113.756593,149,10.185068
-114.457218,93,10.271341
-208.82811,125,10.387293
-57.136391,132,10.506943
-71.203663,111,10.609834
-104.107666,141,10.739468
-68.236958,86,10.817244
-111.606098,91,10.900922
-162.812356,105,10.99496
-136.557241,103,11.093045
-187.638983,128,11.21143
-142.457241,122,11.323689
-116.547032,101,11.421311
-223.301126,108,11.522801
-102.990362,121,11.631337
-142.254423,115,11.740927
-5.840166,166,11.898782
-77.680936,61,13.430961
-62.632741,73,13.499376
-137.19901,94,13.586301
-75.233428,85,13.66607
-77.205419,84,13.743695
-113.322681,101,13.842017
-152.810052,97,13.930221
-116.352302,90,14.016649
-79.792067,77,14.088508
-89.336712,78,14.160782
-120.389201,125,14.281035
-63.005467,110,14.386807
-65.052251,77,14.46036
-224.818485,112,14.565398
-61.961439,78,14.639301
-78.367534,148,14.778911
-79.029925,102,14.876344
-171.120398,119,14.988672
-72.691544,78,15.059727
-133.886608,105,15.157457
-101.618314,72,15.225626
-99.651922,74,15.298638
-91.098625,85,16.870212
-106.824503,103,16.972334
-73.892505,106,17.082191
-163.788264,122,17.198767
-44.903597,89,17.287874
-32.516054,121,17.403355
-94.745354,103,17.501845
-93.508966,163,17.663591
-83.629202,124,17.783803
-127.374199,136,17.914022
-14.739489,80,17.988638
-99.510095,117,18.102184
-79.223747,76,18.177048
-37.364479,111,18.291443
-66.334316,84,18.372477
-62.127529,80,18.448981
-104.427606,114,18.560611
-85.447534,149,18.704079
-64.32743,114,18.814135
-132.818721,138,20.448462
-52.043717,79,20.521566
-74.868318,138,20.661366
-67.920835,124,20.782796
-67.538014,101,20.877398
-83.099723,130,21.006605
-31.517478,96,21.098112
-56.988752,138,21.236092
-26.537687,143,21.376451
0.439262,97,21.469325
-123.153016,121,21.588089
-10.754226,108,21.697332
-56.589203,76,21.772083
-24.808146,120,21.889037
-66.596215,117,22.000803
-61.323484,86,22.087746
-101.235473,89,22.16978
-12.675266,102,22.268839
-22.833111,98,23.8607
-37.067756,115,23.979067
-66.646556,106,24.088462
-47.328948,116,24.203417
-146.39847,131,24.347789
-11.299467,101,24.505167
-105.933515,116,24.778535
-30.87386,159,25.180553
-61.572916,104,25.469105
-23.741477,112,25.807368
-24.355272,125,26.220273
-83.360155,89,26.419978
-36.491451,142,26.687206
-25.713589,135,26.946087
-43.031386,127,27.182484
-40.597227,194,27.557553
-36.132102,130,29.338288
