#{"t_start": 1780408254.8182926, "env_id": "LunarLander-v3"}
r,l,t
-138.077963,129,0.121889
-109.053073,94,0.208095
-83.39507,92,0.288069
-173.349405,95,0.372259
-397.893878,102,0.463602
-453.912732,104,0.559967
-440.129882,90,0.640972
-74.070283,80,0.714183
-170.9018,81,0.787265
-314.606513,115,0.891117
-119.400715,89,0.972502
-129.237794,124,1.08481
-73.955042,60,1.14225
-248.893297,97,1.229493
-313.853583,115,1.335512
-113.37472,74,1.401901
-112.04003,88,1.482184
-155.959003,119,1.587669
-107.692659,79,1.659399
-313.41466,131,1.78338
-205.106164,74,1.853346
-327.624316,105,3.410943
-150.642946,68,3.471891
-32.454759,111,3.573876
-422.012065,129,3.694815
-102.302317,64,3.754257
-80.845085,74,3.822479
-190.334109,122,3.932755
-332.373882,126,4.046025
-139.861862,101,4.139909
-124.971904,113,4.242968
-142.721465,102,4.334956
-76.0923,64,4.394469
-54.667225,68,4.457674
-104.964172,113,4.560987
-260.35358,101,4.666497
25.836149,81,4.7419
-85.268395,81,4.815477
-72.132928,59,4.869114
-150.245281,83,4.941981
-111.643166,105,5.038204
-137.756895,109,5.136233
-86.320757,79,5.20752
-130.215802,106,6.749516
-128.316246,80,6.821121
-85.349044,79,6.896421
-141.498949,85,6.973402
-86.682303,59,7.030761
-436.027226,126,7.14491
-117.542789,90,7.226734
-45.839712,83,7.301608
-69.08248,74,7.369328
-96.140477,77,7.438597
-61.030297,72,7.504725
-113.867245,59,7.559717
-81.186924,74,7.626552
-154.574208,138,7.753914
-134.86186,97,7.846326
-120.395765,112,7.952404
-135.593265,144,8.087041
-78.000739,66,8.147894
-103.087091,126,8.263772
-343.671346,119,8.373069
-15.423633,133,8.496467
-92.292255,63,10.02025
-232.537831,98,10.121261
-83.294795,92,10.208651
-270.105923,141,10.339562
-71.228014,98,10.428445
-83.007545,65,10.488644
-106.142344,97,10.576865
-225.814551,114,10.681736
-115.068732,79,10.754692
-119.100826,91,10.836637
12.75182,99,10.928361
-272.159838,129,11.044487
-187.239917,116,11.154852
-105.67208,74,11.223959
-109.11125,87,11.302838
-100.410714,125,11.423195
-75.067024,70,11.488322
-120.499372,104,11.582864
-76.309834,69,11.644773
-86.000034,118,11.757872
-151.84277,101,11.852113
-115.291078,109,13.432755
-156.180889,95,13.519465
-91.415277,123,13.634481
-98.366456,81,13.71292
-169.509137,122,13.827084
-51.779699,81,13.900694
-51.968148,121,14.016894
-33.229879,122,14.130758
-85.273964,98,14.224245
-79.659218,141,14.359353
-105.427825,107,14.462173
-35.197983,80,14.535908
-123.906673,104,14.634828
-64.781084,99,14.727855
-96.938935,109,14.829448
-84.952605,120,14.943483
-121.309471,112,15.04845
-114.341934,105,15.145795
-29.615611,151,15.293036
-145.351604,107,16.885992
-109.676646,154,17.040027
-109.105393,120,17.157087
-28.703008,118,17.275333
-82.892664,125,17.395813
-60.755741,74,17.465856
-86.849215,106,17.569424
-80.583785,104,17.674045
-88.060837,91,17.759894
-105.843861,106,17.861258
-106.673555,99,17.956148
-20.838215,95,18.045806
-87.539013,122,18.167721
-71.255849,111,18.281957
-41.556443,109,18.385402
-121.984568,126,18.509204
-94.147592,75,18.581781
-78.428866,97,18.674572
-31.047759,77,18.749663
-45.88889,78,20.31603
-65.501078,119,20.439335
-10.054667,141,20.576973
-78.171464,112,20.687555
-66.506042,92,20.777035
-112.457178,117,20.888983
-56.597712,76,20.961617
-85.138481,115,21.074675
0.803948,137,21.210174
-61.815808,92,21.303266
-69.668823,97,21.397521
-74.367214,118,21.510975
-44.96041,89,21.598136
-66.725374,111,21.71018
-87.592304,86,21.795116
-37.199076,152,21.939055
-53.540836,145,22.08432
-122.084444,131,22.210063
-110.234061,112,22.317924
-79.270515,100,23.917143
-114.784816,178,24.097408
-54.196141,115,24.211133
-57.658746,143,24.370608
-40.494881,91,24.527242
-4.064658,106,24.775891
-5.221177,144,25.137739
40.646432,121,25.472969
-46.270701,86,25.726902
-16.434038,144,26.198993
-77.299317,114,26.456653
10.560024,94,26.632353
-22.02645,103,26.827735
-35.673501,134,27.079569
-32.07232,108,27.281819
17.441622,152,27.581068
-8.879689,186,29.416448
-27.773873,122,29.544261
-84.397545,127,29.686641
-63.496316,91,29.808376
-61.919231,115,29.987959
-27.536538,94,30.144653
-7.970692,176,30.455578
-39.951133,137,30.715983
-100.606148,114,30.935184
-0.41415,147,31.134109
45.975795,147,31.289938
-31.885244,117,31.409132
-55.967785,137,31.548059
6.816269,102,31.648581
6.465954,147,31.799254
-27.141383,125,31.926122
-34.94985,166,33.65658
-41.696175,148,33.811172
-43.514465,137,33.956191
23.330617,158,34.128501
-153.982911,477,34.782636
37.484076,126,34.975218
-0.904258,106,35.146041
-44.693395,176,35.456699
-20.560301,110,35.670279
-23.009781,140,35.840701
13.593107,1000,39.758862
-10.355106,163,40.444054
11.589508,107,40.901887
24.401435,1000,44.909602
-55.28313,133,45.73889
42.901591,123,47.629315
48.081647,169,47.9983
112.453245,1000,52.399593
28.560481,1000,57.99682
23.944759,196,58.574905
99.872996,1000,63.458147
52.306497,126,63.789101
-6.590837,1000,71.769616
98.266351,1000,78.378171
9.96616,196,78.958514
99.290512,1000,86.714734
-1.602388,189,87.695927
21.229126,201,88.882833
42.310209,1000,95.607323
101.16512,1000,101.589749
125.550133,1000,105.796742
95.72169,1000,111.522877
114.397019,1000,115.608825
150.560818,1000,123.657771
166.472912,1000,130.010254
133.604182,1000,136.565726
145.970964,1000,140.378384
135.37943,1000,145.838146
135.927976,1000,149.398643
16.736954,229,150.207788
115.792618,1000,158.101563
152.485167,1000,164.55734
174.406197,1000,172.323806
163.344941,1000,178.347928
138.371167,1000,187.012476
121.802693,1000,190.756879
149.862372,1000,195.979436
160.621772,1000,199.867137
174.119914,1000,206.921551
184.526318,305,208.474138
164.897512,1000,215.508766
35.180038,197,216.161224
135.881047,1000,219.574885
155.387443,1000,224.82405
171.495809,1000,228.633396
114.629603,1000,234.123532
133.409655,1000,237.760197
159.398533,1000,243.538116
169.569712,1000,246.851449
33.603973,231,247.650747
152.498109,1000,253.296013
124.957794,1000,257.068748
139.673101,1000,262.882382
149.442824,1000,266.110194
165.547364,1000,271.023642
188.10103,1000,274.451514
39.410495,198,274.983171
186.98962,1000,279.629933
111.070649,1000,283.123298
166.396607,1000,288.733607
128.215934,1000,294.470713
197.35436,1000,302.106749
154.974612,1000,307.534829
170.961961,1000,314.329486
165.225442,1000,319.26884
153.744102,1000,324.249451
189.098089,1000,327.2964
171.775803,1000,331.881459
151.56243,1000,335.251409
174.616147,1000,339.830314
146.209683,1000,343.015665
173.074868,1000,346.628232
144.46526,1000,351.151633
166.377871,1000,355.352576
196.950861,1000,360.122024
206.099909,1000,363.462407
162.723257,1000,369.893139
189.575493,1000,375.371033
169.296205,1000,381.547132
259.738169,524,383.95931
175.940541,1000,389.907721
259.985921,783,392.018412
163.464097,1000,396.679358
137.330615,1000,401.256171
184.821792,1000,407.135601
276.227164,315,407.926581
277.476134,317,408.79387
270.793836,306,409.35459
274.761644,270,409.984633
301.545762,283,410.586732
260.976336,581,413.498272
172.958808,1000,415.494242
239.055586,274,416.043957
250.790071,225,416.561447
284.783636,195,417.031262
264.300275,273,417.619768
291.290665,256,419.643579
270.274743,273,420.051714
267.095402,259,420.434816
180.601171,1000,422.415536
273.818689,230,422.848835
229.815783,241,424.866163
267.712918,238,425.245787
262.783985,214,425.543504
246.215273,209,425.86202
305.909734,286,426.324814
256.023683,238,426.780741
283.055924,261,427.303461
307.404308,258,427.825582
256.065151,244,430.082114
252.708401,839,433.301165
286.993027,208,433.93408
58.897264,197,434.488776
257.782959,207,435.011034
257.520676,209,435.657389
292.490651,270,436.603778
257.063015,225,438.82253
144.465534,1000,440.821819
260.717978,226,441.356054
270.256586,202,441.782847
274.90792,198,442.13333
282.538668,245,442.52135
152.397608,1000,447.259867
309.91518,321,448.167608
276.555638,206,448.658433
239.074683,225,449.223091
247.674781,196,449.700554
252.027306,206,451.922256
251.560277,229,452.479158
31.066362,185,452.925773
244.146172,212,453.445593
44.067044,179,453.955559
281.212878,195,454.522417
