#{"t_start": 1780408254.817909, "env_id": "LunarLander-v3"}
r,l,t
-106.668452,62,0.05858
-159.211598,71,0.126417
-123.83217,82,0.200843
-221.640941,67,0.258851
-196.753716,66,0.318393
-73.136784,65,0.375658
-366.283799,120,0.48444
-81.177392,73,0.550632
-93.991754,124,0.664768
-92.478011,76,0.734144
-401.912712,102,0.825304
-72.20127,61,0.879172
-372.471942,115,0.985638
-275.68443,66,1.044437
-132.548403,97,1.133401
-113.282989,74,1.201375
-167.23487,93,1.287297
-401.491237,77,1.358207
-143.268811,136,1.48036
-403.679485,94,1.564764
-239.681535,80,1.63528
-79.50491,57,1.69062
-270.571853,92,1.775646
-204.477668,107,3.335553
-92.432581,82,3.414213
-60.141159,78,3.483219
-305.305358,119,3.592399
-98.368776,64,3.651399
-90.334804,68,3.71748
-123.136191,115,3.822464
-1.821766,63,3.881063
-125.974155,75,3.947292
-292.700584,124,4.059819
-83.004635,59,4.113343
-294.426518,121,4.224264
1.05275,80,4.297392
-376.439788,109,4.397731
-93.77194,78,4.470663
-80.957878,70,4.534192
-137.245046,67,4.594664
-118.948922,107,4.710023
-279.604554,101,4.798537
-84.371303,76,4.868143
-61.595287,75,4.934027
-157.237295,110,5.034794
-102.416173,81,5.106122
-110.369107,96,5.193189
-87.13156,105,6.733126
-108.150834,115,6.839155
-102.556269,101,6.934471
-39.08303,111,7.037975
-99.529451,69,7.100747
-96.234886,77,7.170277
-97.52374,71,7.235253
-140.625124,105,7.331734
-81.81741,75,7.398818
-275.836649,136,7.523086
-94.100911,79,7.595515
-114.314049,82,7.671545
-84.658339,108,7.769877
-84.133254,75,7.840619
-243.703477,125,7.960467
-81.250945,77,8.031719
-118.374559,131,8.154708
-42.712984,77,8.224614
-195.101111,134,8.345737
-86.756149,116,8.454577
-93.028446,76,8.524309
-93.145244,75,10.066877
36.479619,85,10.148847
-102.989183,97,10.240442
-122.892793,92,10.326245
-102.296371,81,10.400787
-87.991569,88,10.482345
-229.350914,140,10.609424
-209.071918,123,10.722182
-194.992385,95,10.808835
-137.734909,85,10.886399
-130.815544,89,10.967262
-73.674156,131,11.089892
-157.710056,88,11.171257
-115.376644,128,11.288954
-179.585098,144,11.42753
2.526947,104,11.524951
-118.144751,101,11.616294
-117.394971,120,11.729187
-74.632166,125,11.844915
-58.890472,96,13.413932
-74.681456,78,13.486679
-78.997663,67,13.545485
-87.238234,127,13.666659
-97.801641,66,13.728857
-108.731514,126,13.84912
-75.083877,71,13.912685
-72.055212,136,14.042921
-103.650423,87,14.123705
-127.625085,90,14.207739
-95.305692,117,14.32077
-119.655418,123,14.43918
-92.328371,92,14.523931
-180.561674,146,14.664085
-36.688247,77,14.73575
-87.491956,127,14.855937
-35.595476,121,14.970895
-89.845917,90,15.05383
-80.492545,135,15.181091
-120.979859,106,15.283627
-107.268096,140,16.910118
-45.424152,110,17.017331
-52.90066,102,17.119635
-55.23482,81,17.199297
-91.647844,112,17.309077
-118.547497,81,17.388273
-47.216374,139,17.522076
-58.543143,85,17.605508
-98.650138,107,17.707887
-67.864446,80,17.789303
-58.379041,83,17.866949
-39.184197,85,17.947611
-18.286076,89,18.032054
-123.218919,129,18.160524
-71.213092,95,18.252011
-21.806888,98,18.353486
-79.80804,105,18.454353
-84.776846,91,18.54213
-77.109234,86,18.6251
-120.69812,107,18.72929
-32.960523,112,20.331188
-62.439447,106,20.439286
-6.416012,92,20.526844
-71.034389,132,20.659949
-56.067039,122,20.778812
-89.495306,159,20.931036
-58.992523,88,21.019922
-22.909229,154,21.168224
-57.739519,154,21.321936
-39.586843,87,21.407397
-42.90947,91,21.493417
-28.774916,167,21.659015
-15.936632,89,21.748979
-40.460318,143,21.887194
-29.172065,133,22.015936
-48.265881,96,22.110429
-53.199803,117,22.223953
-19.689726,90,22.309359
-35.215227,120,23.929974
-108.752305,92,24.019212
20.353882,90,24.11162
-39.633913,92,24.20284
1.726589,122,24.337067
13.176383,88,24.451411
-70.015931,91,24.660435
-47.413829,92,24.886172
-7.763485,131,25.225076
-32.365294,107,25.525867
-58.965081,133,25.938318
-96.253602,103,26.281264
-61.992991,111,26.49617
-72.226226,102,26.687315
-58.866571,115,26.910245
-68.705844,92,27.077222
-54.717981,139,27.336968
-84.519116,141,27.614127
-66.638368,109,29.352072
-8.949386,159,29.521915
18.967476,107,29.637053
-5.449019,92,29.753742
-45.349144,89,29.88377
-82.056975,102,30.048902
-42.866044,156,30.31748
-157.894264,132,30.55702
-84.426334,108,30.766734
-42.633488,92,30.942037
-10.670031,137,31.126721
1.083435,142,31.277523
-23.733124,163,31.442566
-32.380359,126,31.573141
31.042228,110,31.68086
-100.236061,131,31.814424
-88.3537,121,31.938095
-43.472007,91,33.586495
3.344944,95,33.690277
28.205788,169,33.867112
-109.868653,206,34.086275
-13.542401,169,34.266385
-82.615966,130,34.427755
-2.229855,112,34.605549
-18.09432,131,34.825814
19.998007,154,35.063752
28.754202,144,35.309332
-151.52846,349,35.862598
8.688968,188,36.078658
14.249943,197,37.934371
-7.53394,132,38.196234
26.021937,118,38.501642
30.217051,134,38.929856
55.827372,1000,42.606122
67.309508,1000,48.275521
-146.726202,256,49.19401
52.88381,188,50.166133
51.752633,176,51.206636
61.949663,1000,55.295603
74.306402,1000,61.257658
-132.257611,635,63.86455
61.759938,1000,71.898939
-21.180579,176,72.753695
-65.026311,219,74.040088
138.668151,1000,79.901086
66.271306,1000,87.898166
74.205888,1000,94.335814
95.192353,1000,100.865131
68.254106,1000,104.964371
121.867691,1000,110.894117
135.206317,1000,114.954778
140.710465,1000,122.523005
156.24278,1000,128.875246
91.912525,1000,135.912591
151.38338,1000,139.751606
157.308504,1000,145.419168
128.571092,1000,148.874225
168.46693,1000,155.719769
81.498248,1000,162.287114
158.311779,1000,170.357795
139.670481,1000,176.028894
173.362751,1000,184.641118
131.992885,1000,189.527176
129.24751,1000,194.99008
174.507219,1000,198.296715
184.392605,1000,204.627502
22.272914,210,205.874455
124.036427,1000,211.401253
156.013194,1000,217.164487
-11.143352,274,218.101619
102.291886,1000,221.763447
159.158924,1000,226.917445
176.283237,1000,230.817645
135.752938,1000,236.170675
102.581374,1000,239.910039
124.568193,1000,245.397529
38.330211,248,246.249486
126.488625,1000,250.101496
161.520301,1000,255.655434
142.001262,1000,259.198257
162.65961,1000,264.747048
169.781769,1000,268.107258
246.331509,273,270.634815
140.768452,1000,274.041988
142.854406,1000,278.703588
169.508624,1000,282.071402
139.871121,1000,285.680608
157.860836,1000,292.708912
157.643131,1000,298.444667
180.529626,1000,305.91603
150.727337,1000,311.130713
142.752504,1000,318.324809
54.708902,184,318.87705
140.81372,1000,322.182291
174.433274,1000,326.933083
144.674715,1000,330.016528
141.121524,1000,334.83198
205.239648,1000,337.861383
133.137013,1000,342.562249
152.070862,1000,346.194438
139.607474,1000,350.779027
176.690244,1000,354.582315
198.954702,1000,359.713786
140.464861,1000,363.030584
162.277504,1000,369.23368
155.453195,1000,374.513802
180.369407,1000,380.943878
171.43378,1000,385.866664
151.871366,1000,390.894481
189.386281,1000,393.60961
264.956705,526,397.054368
250.82626,551,399.642287
269.925076,480,401.714949
246.620033,274,402.8986
232.765294,339,404.306132
237.463928,508,407.708704
