#{"t_start": 1780409188.5772882, "env_id": "Ant-v4"}
r,l,t
-154.711174,95,0.182629
-207.995464,167,0.455528
-34.137803,28,0.500661
3.929301,23,0.537456
-96.67039,98,0.694682
-46.213887,41,0.760703
-58.665709,41,0.827294
-34.665225,41,0.893512
-13.520439,13,0.914811
-24.373052,50,0.995569
-1057.592608,1000,2.6167
-42.103407,48,2.693587
-1017.461989,1000,8.036091
-74.038425,79,8.165624
-50.428123,73,8.283791
-31.141409,35,8.341058
-13.296946,17,8.368564
-216.062778,144,8.602784
-19.09135,20,8.635238
-8.43068,10,8.651067
-78.790687,97,8.807469
-21.445118,28,8.853171
-51.056323,38,8.915595
-48.286233,50,8.996413
-95.881146,66,9.104558
-55.296628,90,9.250184
-38.216272,120,9.442481
-1010.810911,1000,14.809909
-28.597589,41,14.878123
-15.380062,23,14.91482
-34.619236,67,15.021885
-961.623181,968,16.588315
-12.464093,16,16.614283
-94.177996,116,16.800872
4.882186,36,16.859924
-80.511685,53,16.944509
-98.141678,68,17.054811
-21.341882,18,17.084372
-7.449182,14,17.107055
-34.6382,60,17.203977
-1026.619239,1000,22.54097
-61.63582,46,22.616441
-62.855464,94,22.767246
-30.761761,43,22.836611
-48.38807,46,22.911602
-25.364922,39,22.974609
-105.639401,72,23.090724
-93.014674,111,23.26698
-22.456126,49,23.345521
-76.019344,30,23.392794
-22.602051,95,23.545686
-46.598603,73,23.662849
-113.694411,121,23.858741
-33.542875,60,23.955564
-0.791425,32,24.007366
-18.754171,38,24.068448
-107.744602,63,24.169883
-14.803149,22,24.20536
-24.931457,38,24.26721
-108.604663,81,24.397228
-44.835771,49,28.209117
-27.605712,42,28.277174
-140.106276,106,28.453108
-4.425882,12,28.472988
-50.960909,23,28.510067
-14.776907,15,28.534334
-65.452707,51,28.618041
-43.241411,68,28.728733
-36.967353,40,28.79389
-50.020582,42,28.863802
-37.485773,69,28.975778
-53.381573,73,29.094838
-60.12514,60,29.191105
-20.716276,32,29.242045
-125.104969,109,29.415991
-45.90027,58,29.510309
-16.621588,25,29.550501
-113.677131,123,29.747343
-51.560449,42,29.814601
-15.901793,12,29.834379
-31.98861,26,29.877036
-24.866379,44,29.947578
-27.505049,21,29.981479
-147.002787,114,30.169451
-29.423257,18,30.198625
-31.200572,19,30.229504
-3.673922,9,30.24419
-78.856141,80,30.373181
-33.530974,37,30.433047
-60.130025,68,30.544248
-19.953018,21,30.578167
-28.221116,15,30.602504
-11.435122,13,30.623438
-24.732683,48,30.700413
-7.735401,41,30.767603
-57.660136,46,30.842234
-31.928966,89,30.9853
-35.305639,65,31.090596
-36.109461,30,31.13891
-62.719508,99,31.29763
-875.89372,1000,41.825156
-89.522977,83,41.957458
-23.08047,33,42.009746
-18.453744,19,42.039752
-88.590392,102,42.200798
-15.398394,13,42.221593
-9.430313,18,42.249908
-8.214136,74,42.366468
-18.820725,13,42.38731
-6.907952,12,42.406198
-1030.30068,1000,47.720551
-166.672479,112,47.901879
-44.748191,27,47.945904
-71.601318,92,48.095353
-12.024407,29,48.142977
-164.683264,156,48.39969
-38.155042,26,48.442805
-18.61126,82,48.578713
-9.237687,40,48.644035
-38.259409,28,48.68933
-12.522551,14,48.712718
-18.124365,21,48.746512
-21.407253,41,48.812636
-17.216256,15,48.837882
-61.007095,64,48.943118
-933.507803,1000,50.566208
-33.976492,29,50.612474
-254.007087,201,54.614256
-28.384252,23,54.650369
-14.32637,12,54.669922
-20.351876,23,54.70699
-48.683666,42,54.774673
-25.532125,41,54.840373
-958.303374,1000,56.46082
-1004.825331,1000,66.968223
-39.446928,71,67.08637
-21.221776,55,67.178137
-19.345455,20,67.210763
-38.33452,30,67.259813
-10.001774,17,67.287412
-8.911659,17,67.315443
-4.272413,53,67.401559
-9.522905,15,67.425983
-27.63692,22,67.461878
-14.164682,41,67.528723
-31.134477,30,67.578069
-41.757303,35,67.634596
-41.737828,52,67.718946
-991.906116,1000,69.331985
-14.593981,20,69.364174
-90.342884,116,69.55098
-100.411143,119,69.745146
-51.160385,51,69.828144
-124.500371,130,73.726495
-62.287285,73,73.846031
-67.05049,54,73.934536
6.631069,37,73.994086
-999.117632,1000,75.633701
-8.516406,37,75.692949
-922.314418,1000,81.03585
-33.458518,29,81.082826
-27.768542,46,81.157249
-39.221306,57,81.249584
-81.419119,139,81.472625
-23.675051,15,81.496631
-105.905177,79,81.622708
-0.175693,12,81.642254
-17.569124,16,81.668669
-29.340484,33,81.722383
-90.368989,79,81.848564
-72.21445,41,81.91665
-10.942734,21,81.950242
-32.482299,19,81.980992
-884.45536,1000,83.603532
-19.441543,23,83.640148
-16.884868,49,83.719108
-12.672725,14,83.741514
-37.305868,18,83.770471
-12.407988,16,83.795981
-68.717551,45,83.868516
-25.466495,23,83.907156
-33.825657,34,83.96217
-17.251472,19,83.992916
-37.376647,27,87.735378
-164.978916,168,88.007452
-45.714874,75,88.131396
-62.955091,83,88.267895
-14.998873,12,88.287479
-852.116923,1000,89.914712
-42.310811,46,89.988928
-15.056146,44,90.060138
-71.458335,52,90.145296
-17.394441,24,90.184504
-871.293201,1000,95.486661
-35.939991,58,95.581203
-91.210265,149,95.824543
-81.823052,67,95.93606
-105.344956,89,96.080207
-81.423936,74,96.202254
-0.978932,18,96.232226
-820.630739,1000,97.853039
-895.820152,1000,108.395565
-92.493916,111,108.573907
-9.667103,47,108.649124
7.356527,29,108.695478
-11.069443,32,108.746594
-43.810509,72,108.862057
-29.60297,22,108.897303
-38.501837,31,108.947875
-7.73874,15,108.972542
-42.408232,73,109.091361
-31.220826,34,109.146525
-89.748287,58,109.239831
-11.219103,23,109.276679
1.799133,13,109.297021
-60.282572,55,109.385325
-35.883976,25,109.425412
-955.721584,1000,114.733643
7.486105,28,114.778604
-854.361636,1000,116.426799
-24.428185,30,116.47584
-18.611805,18,116.505252
-1.428282,39,116.568165
-2.886618,14,116.59063
-860.549642,1000,121.941791
-11.930821,25,121.98284
-14.552979,18,122.012129
-97.248284,93,122.164536
-22.110787,45,122.237968
-46.523824,67,122.345299
-799.391825,921,123.864145
-60.522576,57,123.958212
-30.421226,45,124.032049
-63.045176,91,124.187999
-12.605087,32,124.241554
-91.058188,134,133.359147
-2.23357,71,133.475461
-618.503927,826,134.816592
-78.359759,62,134.916631
-12.739784,23,134.954136
-38.625432,48,135.031463
-44.143854,51,135.114841
-29.355783,76,135.238247
-14.586939,29,135.285119
-25.226881,95,135.438853
-30.545433,101,135.603004
-6.524523,36,135.660822
-43.370046,35,135.717105
-68.094917,47,135.792469
-22.386113,25,135.832789
-830.136531,1000,141.134064
-111.941199,87,141.278261
-125.140878,164,141.54816
-9.578542,12,141.567648
-37.624799,22,141.602963
-9.593083,26,141.644507
0.723931,24,141.682922
-10.654099,21,141.717018
-108.886024,161,141.984255
-5.869804,98,142.144103
3.75413,11,142.162791
5.027141,89,142.308228
-9.593575,11,142.326523
-74.90852,60,142.422928
-25.611027,41,142.489286
9.527309,35,142.545104
-13.00411,11,142.562733
-11.275387,19,142.593198
-18.603216,33,142.646671
-6.43799,24,142.685271
-52.110376,53,142.770174
-8.32256,29,142.81685
-33.494525,54,142.904098
-16.335136,23,142.941734
-80.933207,99,143.102348
-39.177686,37,143.163322
-10.673599,15,143.187421
-24.880488,14,143.209959
-18.295927,20,143.242396
-10.707251,15,143.266588
-89.357941,108,143.440879
-57.28963,70,143.553123
-9.415724,14,143.575661
-3.894853,13,143.596197
-56.169501,66,147.359808
-69.459872,129,147.568349
-13.317569,21,147.602198
-26.653924,108,147.775686
-24.272269,37,147.835087
-81.659382,80,147.965292
-15.933145,26,148.007558
-7.673055,23,148.045025
-14.512676,25,148.085545
-36.603787,90,148.230466
-6.516824,16,148.256136
-134.941975,61,148.355215
-20.308597,80,148.485326
-9.055432,17,148.51276
-62.184264,62,148.613134
-74.155983,49,148.691428
-23.632467,45,148.764396
-87.987289,123,148.963913
-74.546947,117,149.1544
-25.267949,21,149.188078
-0.02242,28,149.233331
9.884841,43,149.302936
5.610512,13,149.324551
-9.861644,25,149.365391
-34.730244,51,149.447191
-73.849403,73,149.565803
-30.915739,53,149.651519
-7.564292,16,149.677275
-27.829738,38,149.738092
-30.754498,43,149.807851
-31.973324,77,149.932347
-13.583768,24,149.971957
-30.075078,34,150.026601
-71.667855,107,150.197363
-17.458035,77,150.321009
-75.969124,67,150.428916
-99.074049,133,154.312459
-750.15219,1000,155.946019
-43.609983,106,156.117993
-40.987358,45,156.191425
-25.434334,34,156.246225
-4.036874,17,156.273659
-122.930975,65,156.378746
-12.805922,15,156.40253
-26.962824,42,156.47024
-17.762008,13,156.491311
-23.714036,47,156.566498
-23.916312,55,156.654783
-105.332737,78,156.780836
-56.694745,30,156.829543
-27.564623,47,156.905259
-24.04688,60,157.002971
-30.917076,75,157.125124
-13.759049,33,157.179118
12.168315,93,157.33061
-50.413842,60,157.428589
-25.61102,55,157.518819
-702.95243,1000,162.856893
-3.560359,37,162.917313
0.297008,72,163.033956
-20.068558,33,163.087217
0.973759,29,163.133868
-7.17657,13,163.154959
-17.837619,25,163.195098
-0.833076,21,163.229303
-56.363216,48,163.305641
-31.292501,22,163.341061
-29.168392,67,163.447779
-15.194627,48,163.52486
-17.351904,19,163.554822
-6.2943,18,163.583714
-20.058547,20,163.615798
-89.043469,165,163.87933
-20.563943,24,163.917804
21.864487,50,163.998331
-47.261689,33,164.0512
-4.785816,15,164.075185
-15.09769,28,164.120244
-16.220906,67,164.226673
-37.658569,24,164.264975
-12.078159,43,164.333075
-39.152309,82,164.46423
-5.996237,27,164.507599
-30.906555,37,164.566952
