#{"t_start": 1780409188.5823796, "env_id": "Ant-v4"}
r,l,t
-107.633952,105,0.193742
-13.136869,14,0.216361
-226.051391,262,0.641715
-35.366282,24,0.680388
-21.26594,18,0.709337
-192.930427,94,0.86109
-18.724913,11,0.878977
-71.750351,52,0.963636
-42.759171,62,1.063519
-40.109704,43,1.133215
-41.229737,34,1.188325
-6.028209,33,1.241422
-29.735017,24,1.279866
-17.244232,33,1.332676
-81.525263,56,1.423713
-1128.19406,1000,3.041473
-98.40418,56,3.132601
-28.736705,73,3.251997
-81.574993,101,7.139954
11.45271,63,7.243304
-46.167317,67,7.350841
-59.082147,52,7.435031
-18.116669,14,7.458155
-982.651345,1000,9.081794
-62.244706,60,9.179325
-47.938682,65,9.28416
-84.981255,52,9.367518
-32.380811,20,9.39929
-73.296077,101,9.560553
-215.662368,185,9.859304
-1078.953984,1000,15.227749
-32.638589,14,15.250693
-25.548782,21,15.284304
-48.760022,33,15.337461
-100.049274,62,15.436976
-25.020146,39,15.499866
-7.740631,28,15.545229
-55.18266,60,15.641758
-40.172469,48,15.719161
2.059581,10,15.735091
-14.175454,11,15.752854
-125.65859,62,15.853748
-14.200701,27,15.897882
-14.094237,18,15.926932
-0.757778,10,15.942969
-59.102109,39,16.006046
-70.682514,43,16.075569
-15.706774,18,16.104995
-13.999711,24,16.143945
-8.213615,11,16.162268
7.207959,31,16.212975
-83.878001,37,16.27264
-64.519209,46,16.347326
-125.049649,122,16.546021
-42.260416,48,16.624171
-128.907715,89,16.767473
-224.056566,191,17.076281
-48.930319,57,17.168564
-44.99051,29,17.215191
-119.745311,80,17.343753
-6.695495,16,17.370059
-129.730607,90,21.23351
0.383536,31,21.283351
-29.561526,17,21.310816
-65.225516,68,21.42103
5.527899,25,21.461887
-982.85033,1000,23.08096
-31.369464,40,23.144302
-11.347129,9,23.158669
-9.971827,21,23.191684
-66.728241,34,23.245862
-47.370034,38,23.307614
-46.003126,75,23.426361
-25.619934,20,23.458518
-7.458575,19,23.488763
6.221213,30,23.537528
-14.375286,62,23.636881
-9.72451,12,23.656316
-1069.370791,1000,29.014651
-56.68398,44,29.086608
-39.698267,40,29.151103
-21.315216,15,29.175154
-9.177002,44,29.245314
-944.24562,1000,30.863585
-23.632643,26,30.905387
-55.819952,67,31.012907
-37.836251,32,31.064804
-852.082308,1000,41.592045
-26.599252,40,41.656646
-15.700339,29,41.703539
-51.747212,86,41.841631
-26.285588,28,41.886253
-21.304936,32,41.937043
-17.791879,12,41.95589
-54.961225,41,42.020765
-64.294747,26,42.061916
-12.761993,69,42.17059
-31.127462,20,42.202265
-40.29874,51,42.283022
-13.065426,18,42.311515
-5.6959,29,42.356899
-14.207219,13,42.377555
-45.139043,35,42.432545
7.173605,28,42.477441
-6.680315,13,42.498299
-79.942877,93,42.645943
-29.526501,40,42.710857
-128.766209,137,42.929548
-98.768954,86,43.068312
-70.95089,96,43.223641
-67.358748,79,43.350101
-988.426098,1000,48.684634
-51.922371,75,48.806168
-993.683828,1000,50.431913
-93.430951,99,50.591984
-248.550859,248,54.668355
-175.782491,169,54.940629
-48.799108,62,55.04139
-24.483499,21,55.076409
-68.8751,37,55.13723
-20.16496,12,55.157016
-59.865202,64,55.26027
-27.62914,23,55.297305
-122.331678,214,55.643671
-74.116387,53,55.728447
-52.68674,50,55.808028
-965.016352,1000,57.426244
-27.073036,25,57.467016
-8.249954,19,57.497789
-14.636531,20,57.529971
-33.2798,38,57.591261
-913.665442,1000,68.110264
-13.477365,29,68.157155
-18.058453,25,68.197265
-39.603765,36,68.254933
-33.70764,51,68.33683
-19.991583,41,68.402792
-47.283679,82,68.533151
-24.590099,18,68.561901
-38.001886,41,68.628484
-64.116907,85,68.765629
-47.329293,31,68.816031
-23.450136,32,68.868972
-46.132672,29,68.915905
-3.182672,11,68.933739
-10.386774,30,68.98245
-18.459648,59,69.077257
-199.194932,211,69.417031
-47.23809,70,69.529623
-29.166634,25,69.571268
-34.346697,77,69.696801
-84.647037,97,69.855031
-10.945892,11,69.873382
-37.902578,28,69.918916
-12.054401,10,69.935284
-3.613337,54,73.708668
-56.976791,53,73.795158
-918.223,1000,75.432878
-31.125353,22,75.469166
-37.400364,43,75.539757
-38.916024,38,75.602288
-35.37088,55,75.691517
-16.163926,23,75.72874
1.107179,16,75.754217
-18.575946,22,75.789541
-26.201078,26,75.831443
-44.325836,33,75.885798
-68.502509,54,75.972571
-45.431927,21,76.005966
-13.821243,20,76.037948
-5.609431,12,76.05726
-46.84482,46,76.133345
-25.227035,19,76.164416
-11.521198,20,76.198123
-105.763964,135,76.417874
-28.071431,20,76.450497
-29.577404,47,76.527179
-36.521939,76,76.648786
-119.699764,105,76.817211
-14.852476,16,76.843121
-21.578918,12,76.862731
-31.535688,51,76.944803
-28.406218,21,76.978779
-28.864617,22,80.734969
-59.628675,50,80.816125
-0.254879,10,80.832434
-126.995688,117,81.024641
-23.265631,45,81.097534
-77.343682,58,81.191323
-6.401587,16,81.217514
-17.312471,44,81.288376
-18.837084,26,81.329977
-14.816149,34,81.384409
-42.265182,43,81.453486
-6.422196,39,81.515982
-866.891983,1000,83.141585
-110.032489,142,83.370373
-62.256205,63,83.471993
-29.173579,43,83.540231
-47.110387,57,83.630464
-932.144127,1000,88.960505
-20.667989,14,88.98342
-29.512459,41,89.049452
-89.382794,121,89.247359
-88.009673,58,89.3416
-12.971547,12,89.361062
-19.790822,15,89.385064
-108.461274,135,89.603519
-7.466445,35,89.659658
-29.114035,51,89.741705
-208.103043,137,89.963156
-23.150612,25,90.003621
-38.425506,42,90.07174
1.495408,24,90.111403
-80.361318,77,90.23594
-69.935737,73,90.35405
-23.259001,28,90.399642
-44.439265,72,90.516154
0.883224,59,90.610658
-921.32882,1000,95.919785
-30.845562,20,95.952273
-24.636455,38,96.013597
-33.957591,43,96.083535
-8.58899,11,96.102301
-66.619042,69,96.2159
-19.415426,32,96.267882
-1.489015,68,96.376868
-8.392988,13,96.397549
-29.994951,48,96.474555
-135.146337,101,96.637563
-16.57106,14,96.659757
-64.930435,51,96.740897
-38.023091,25,96.780987
-19.690632,20,96.813342
-31.559213,70,96.929025
-23.935308,18,96.958658
-62.989288,99,97.120638
-58.683904,47,97.1971
-114.830379,105,97.367531
-49.857945,70,97.480737
-867.480286,1000,108.021318
-14.971195,10,108.037847
-19.97879,21,108.071643
-44.940911,82,108.206101
-13.022875,12,108.225903
-74.582256,56,108.317931
-7.707521,31,108.367954
-25.31144,61,108.465884
-18.936639,38,108.527003
-11.914835,73,108.644411
-69.156523,92,108.791481
-813.229723,1000,114.09689
-36.149572,22,114.132966
-45.464399,31,114.182884
3.93182,31,114.232467
-772.200424,1000,115.876173
-30.140171,19,115.908145
-74.564583,48,115.986596
-25.040076,14,116.00937
-15.642334,15,116.033886
-64.494808,86,116.175793
-16.347891,38,116.237744
-38.763968,49,116.316911
-23.656904,16,116.342809
-35.201591,56,116.433336
-24.222326,33,116.487533
-40.916484,37,116.547079
-25.792737,21,116.581068
-27.907971,24,116.619415
-3.374061,55,116.708001
-18.846218,57,116.79982
-124.631614,75,116.921546
-19.467676,52,117.006233
-20.950479,44,117.077636
-3.20266,20,117.111363
-56.843347,41,117.17913
-39.106585,54,117.266027
-39.645227,29,117.313768
-10.35814,12,121.053116
-893.204782,1000,122.687234
-33.509017,60,122.784995
-8.692131,20,122.817925
-23.086191,21,122.852402
5.630771,16,122.878675
-16.19335,35,122.936661
1.989064,36,122.995781
-12.591184,42,123.064289
-10.515475,34,123.121665
-92.658031,86,123.26563
-809.013161,1000,133.814057
-27.491859,16,133.839875
-10.486107,12,133.859224
-14.682117,13,133.88008
-127.615035,129,134.08862
-27.525196,47,134.165652
-59.33447,36,134.2241
-51.439538,52,134.309191
-1.119815,11,134.327132
-50.659591,36,134.385513
-12.469554,13,134.406772
3.038518,16,134.433038
-10.73769,42,134.502129
-143.93359,160,134.760614
-70.01221,66,134.866751
-24.126362,19,134.897065
-49.85644,43,134.96725
-56.161842,53,135.052915
-9.552759,16,135.078964
-28.2214,39,135.14288
-36.881264,53,135.228619
-2.78486,21,135.262619
-64.663444,37,135.322409
-28.845079,53,135.408142
-18.727492,19,135.439154
-51.005399,68,135.549103
-18.494683,13,135.570508
-64.271679,54,135.657736
-31.78558,41,135.72348
2.273906,29,135.769891
1.344529,14,135.792512
-37.514914,43,135.861881
-779.861128,1000,141.164329
-14.392406,41,141.233213
-45.382153,53,141.318819
-59.330702,60,141.416075
-23.42999,31,141.468046
-30.251479,54,141.558029
-16.193971,15,141.582158
15.619747,73,141.699252
-70.582903,49,141.778269
-11.642124,20,141.810789
-10.070614,29,141.857312
13.104458,28,141.902243
1.870085,12,141.922442
-26.759082,32,141.981166
-25.120376,35,142.037896
-7.445025,20,142.071109
-31.104098,36,142.129511
-20.123388,23,142.168052
-20.045659,41,142.23527
-44.418545,51,142.318438
-81.975115,79,142.4456
-23.548816,38,142.506868
-742.381779,1000,147.777364
-43.872423,35,147.83353
-70.696865,50,147.914116
-56.412111,108,148.090277
-18.661028,17,148.117922
-4.541254,18,148.14702
9.424158,16,148.172724
-44.570125,41,148.238576
-794.987854,1000,149.858001
-70.348067,94,150.01062
-53.58325,83,150.142995
6.672282,46,150.216804
7.732347,79,150.343717
-45.580307,105,150.513234
-17.068916,27,150.556778
-62.090529,93,154.375515
5.19926,16,154.402322
-812.63093,1000,156.035161
-5.506343,34,156.09032
-43.094929,29,156.13791
-106.272309,107,156.3104
-103.672109,90,156.455419
-61.356797,131,156.666447
-32.559884,37,156.726419
-13.458409,16,156.751856
-80.327588,117,156.940841
-730.372279,1000,162.284683
-29.647305,22,162.320206
-16.337235,61,162.418441
-17.112088,14,162.441198
-5.179464,38,162.503026
-13.194221,24,162.542449
-757.751594,1000,164.148759
-43.711412,56,164.237931
-62.54449,107,164.408032
-16.275026,13,164.428713
-49.370207,59,164.523558
-107.540352,117,168.485346
-13.645573,25,168.52849
-29.178342,46,168.602672
-8.103498,27,168.64552
-6.463357,62,168.746178
-12.970607,23,168.784308
-5.819173,41,168.850536
-785.185814,1000,170.476852
-9.910187,15,170.501018
-714.40004,1000,175.841188
-37.522811,28,175.886672
-7.726325,13,175.907966
-802.070111,1000,177.552356
-48.788118,48,177.629928
-43.442802,56,177.719466
-34.985388,40,177.782999
2.697415,15,177.806773
-742.71814,1000,188.337038
7.452723,43,188.407231
-2.528948,17,188.435325
-8.130774,21,188.469316
-60.026419,67,188.577389
-46.409541,68,188.6869
