#{"t_start": 1780075705.801351, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.021383
41.0,41,0.04601
15.0,15,0.058589
59.0,59,0.097005
26.0,26,0.112149
27.0,27,0.128172
17.0,17,0.139048
16.0,16,0.147366
17.0,17,0.159055
47.0,47,0.182236
62.0,62,0.209541
9.0,9,0.213392
9.0,9,0.217484
13.0,13,0.223136
16.0,16,0.230395
22.0,22,0.240199
16.0,16,0.247459
18.0,18,0.256582
12.0,12,0.261837
11.0,11,0.266673
34.0,34,0.281916
13.0,13,0.287851
18.0,18,0.295835
49.0,49,0.317522
17.0,17,0.325174
21.0,21,0.338077
15.0,15,0.344904
39.0,39,0.361589
16.0,16,0.368418
36.0,36,0.384501
16.0,16,0.393624
35.0,35,0.409153
28.0,28,0.421424
15.0,15,0.427955
16.0,16,0.434987
16.0,16,0.441881
25.0,25,0.452835
43.0,43,0.471666
13.0,13,0.477625
77.0,77,0.511137
35.0,35,0.526383
15.0,15,0.533035
36.0,36,0.548745
31.0,31,0.561696
12.0,12,0.566794
15.0,15,0.573505
17.0,17,0.632352
17.0,17,0.734349
50.0,50,0.822781
39.0,39,0.840974
28.0,28,0.853576
10.0,10,0.857777
16.0,16,0.864573
24.0,24,0.87511
14.0,14,0.881374
24.0,24,0.891905
12.0,12,0.896967
16.0,16,0.904083
28.0,28,0.9168
38.0,38,0.933243
28.0,28,0.945603
38.0,38,1.058594
14.0,14,1.064531
36.0,36,1.07917
60.0,60,1.103986
16.0,16,1.11074
24.0,24,1.120653
23.0,23,1.130311
52.0,52,1.15169
22.0,22,1.160864
37.0,37,1.176496
20.0,20,1.184882
21.0,21,1.193681
11.0,11,1.198578
19.0,19,1.206866
14.0,14,1.213151
43.0,43,1.231561
16.0,16,1.238648
22.0,22,1.248293
21.0,21,1.257634
18.0,18,1.265388
19.0,19,2.922879
47.0,47,2.960548
36.0,36,2.988684
31.0,31,3.012771
35.0,35,3.039781
35.0,35,3.06728
36.0,36,3.094974
29.0,29,3.117294
29.0,29,3.139808
30.0,30,3.162985
37.0,37,3.191348
11.0,11,3.199615
41.0,41,3.230938
12.0,12,3.240103
36.0,36,3.267354
34.0,34,3.293418
31.0,31,3.317374
53.0,53,3.357983
33.0,33,3.38303
16.0,16,3.395386
15.0,15,3.406678
14.0,14,3.417237
16.0,16,3.429515
60.0,60,3.475428
30.0,30,3.498205
13.0,13,3.508001
65.0,65,3.557666
11.0,11,3.566056
53.0,53,3.606577
22.0,22,3.623463
14.0,14,3.634145
16.0,16,3.646461
24.0,24,3.664869
20.0,20,3.680136
25.0,25,3.699161
31.0,31,3.722847
36.0,36,3.750388
29.0,29,3.77288
16.0,16,3.785274
86.0,86,3.851362
10.0,10,3.859095
16.0,16,3.871428
24.0,24,3.88969
20.0,20,3.905089
73.0,73,3.96091
45.0,45,3.995411
23.0,23,4.013226
22.0,22,4.029941
9.0,9,4.036937
47.0,47,4.072735
26.0,26,4.092685
88.0,88,4.160161
48.0,48,4.19625
16.0,16,4.208725
50.0,50,4.246693
21.0,21,4.262557
18.0,18,4.276494
17.0,17,4.28962
23.0,23,4.307105
19.0,19,4.321579
46.0,46,4.356911
13.0,13,4.366856
36.0,36,4.394143
21.0,21,4.410512
18.0,18,4.424367
14.0,14,4.434913
61.0,61,4.482962
21.0,21,5.787139
12.0,12,5.791856
28.0,28,5.803277
39.0,39,5.818611
21.0,21,5.825841
24.0,24,5.833867
36.0,36,5.846169
63.0,63,5.867699
30.0,30,5.87835
46.0,46,5.894491
20.0,20,5.900964
55.0,55,5.921904
25.0,25,5.93086
16.0,16,5.937052
17.0,17,5.943111
21.0,21,5.949917
100.0,100,5.984915
69.0,69,6.010447
126.0,126,6.057647
39.0,39,6.071442
19.0,19,6.077932
47.0,47,6.094021
18.0,18,6.10047
20.0,20,6.107825
65.0,65,6.131259
38.0,38,6.144733
57.0,57,6.165811
27.0,27,6.17565
29.0,29,6.18699
18.0,18,6.193262
29.0,29,6.203866
49.0,49,6.220962
52.0,52,6.239754
23.0,23,6.247606
22.0,22,6.256504
34.0,34,6.26793
14.0,14,6.273215
77.0,77,6.29914
30.0,30,6.310487
79.0,79,6.338955
21.0,21,6.346059
43.0,43,6.361341
28.0,28,6.371661
69.0,69,6.395054
50.0,50,6.412147
30.0,30,6.422529
76.0,76,6.447863
43.0,43,6.462904
34.0,34,6.474865
52.0,52,6.492501
18.0,18,6.498273
18.0,18,6.504604
54.0,54,7.786734
31.0,31,7.797414
19.0,19,7.803799
94.0,94,7.835478
19.0,19,7.842338
18.0,18,7.848905
84.0,84,7.877779
119.0,119,7.919666
64.0,64,7.942349
29.0,29,7.954366
23.0,23,7.965221
31.0,31,7.975495
20.0,20,7.982336
267.0,267,8.071859
74.0,74,8.096551
145.0,145,8.145179
58.0,58,8.165104
52.0,52,8.18396
21.0,21,8.191152
75.0,75,8.216762
18.0,18,8.223635
20.0,20,8.230406
41.0,41,8.24439
23.0,23,8.252286
53.0,53,8.270326
107.0,107,8.307171
33.0,33,8.318339
50.0,50,8.335549
86.0,86,8.364229
100.0,100,8.397587
45.0,45,8.412657
89.0,89,8.442885
118.0,118,9.859442
80.0,80,9.886555
66.0,66,9.908541
83.0,83,9.937884
77.0,77,9.963628
13.0,13,9.968252
49.0,49,9.984803
172.0,172,10.042987
114.0,114,10.082469
60.0,60,10.103006
122.0,122,10.144562
42.0,42,10.158934
110.0,110,10.197007
25.0,25,10.205915
108.0,108,10.242617
53.0,53,10.260639
74.0,74,10.28598
97.0,97,10.320231
43.0,43,10.334683
179.0,179,10.40086
137.0,137,10.447443
71.0,71,10.471388
118.0,118,10.510682
116.0,116,10.549681
17.0,17,10.555808
149.0,149,11.966204
177.0,177,12.026805
228.0,228,12.101216
112.0,112,12.140093
104.0,104,12.174742
107.0,107,12.210048
152.0,152,12.258981
50.0,50,12.278957
250.0,250,12.363755
164.0,164,12.418185
119.0,119,12.458721
131.0,131,12.502234
126.0,126,12.545392
122.0,122,12.587419
345.0,345,14.092239
152.0,152,14.204632
181.0,181,14.33833
162.0,162,14.458191
399.0,399,14.751634
136.0,136,14.851949
150.0,150,14.962663
216.0,216,15.12067
123.0,123,15.211623
94.0,94,15.281138
488.0,488,16.771256
273.0,273,16.863774
500.0,500,17.047001
146.0,146,17.096653
234.0,234,17.175778
374.0,374,17.311472
500.0,500,18.606222
500.0,500,18.781698
401.0,401,18.919013
340.0,340,19.040188
266.0,266,19.126179
433.0,433,20.368377
500.0,500,20.532107
281.0,281,20.624533
500.0,500,20.787456
500.0,500,20.950716
500.0,500,22.362777
500.0,500,22.550056
500.0,500,22.716971
216.0,216,22.806678
500.0,500,24.118231
500.0,500,24.296521
500.0,500,24.458124
500.0,500,24.617661
500.0,500,27.152801
500.0,500,27.524099
500.0,500,27.896477
500.0,500,28.268362
500.0,500,30.065046
500.0,500,30.45273
500.0,500,30.819899
500.0,500,31.216877
500.0,500,31.584389
500.0,500,32.956848
500.0,500,33.121947
500.0,500,33.28871
500.0,500,33.453538
500.0,500,34.734157
500.0,500,34.918932
500.0,500,35.094426
500.0,500,35.271285
500.0,500,37.71318
500.0,500,37.922107
500.0,500,38.12609
500.0,500,38.3305
500.0,500,39.833644
500.0,500,39.99291
500.0,500,40.155717
500.0,500,40.317403
500.0,500,41.746374
500.0,500,41.908514
500.0,500,42.069158
500.0,500,42.230277
500.0,500,43.45845
500.0,500,43.649084
500.0,500,43.811082
500.0,500,43.975805
500.0,500,45.269377
500.0,500,45.563848
500.0,500,45.93668
500.0,500,46.305583
500.0,500,47.75822
500.0,500,47.924362
500.0,500,48.099
500.0,500,48.269163
500.0,500,49.976585
500.0,500,50.343522
500.0,500,50.709618
500.0,500,51.077217
500.0,500,53.064429
500.0,500,53.442317
500.0,500,53.815006
500.0,500,54.187555
500.0,500,54.564564
500.0,500,56.449758
500.0,500,56.819692
500.0,500,57.188472
500.0,500,57.557503
500.0,500,59.303808
500.0,500,59.671024
500.0,500,60.034781
500.0,500,60.398483
500.0,500,61.715725
500.0,500,61.900232
500.0,500,62.058209
500.0,500,62.215692
500.0,500,63.447087
500.0,500,63.610282
500.0,500,63.778082
500.0,500,63.937261
500.0,500,65.200251
500.0,500,65.375122
500.0,500,65.547749
500.0,500,65.715954
500.0,500,67.234704
500.0,500,67.604188
500.0,500,67.971655
500.0,500,68.343309
500.0,500,71.035217
500.0,500,71.200325
500.0,500,71.372169
500.0,500,71.55145
500.0,500,73.207099
500.0,500,73.576146
500.0,500,73.944524
500.0,500,74.311544
500.0,500,75.970688
500.0,500,76.137772
500.0,500,76.30444
500.0,500,76.471935
500.0,500,77.723751
500.0,500,77.896339
500.0,500,78.057914
500.0,500,78.220237
500.0,500,79.66646
500.0,500,79.836409
500.0,500,80.004412
500.0,500,80.167246
500.0,500,80.332255
500.0,500,81.697867
500.0,500,81.874853
500.0,500,82.042552
500.0,500,82.213439
500.0,500,83.734782
500.0,500,83.916612
500.0,500,84.097997
500.0,500,84.271955
500.0,500,85.672096
500.0,500,85.840403
500.0,500,86.010816
500.0,500,86.193136
500.0,500,87.799738
500.0,500,87.982086
500.0,500,88.177681
500.0,500,88.352649
500.0,500,89.938391
500.0,500,90.312005
500.0,500,90.683762
500.0,500,91.057603
500.0,500,92.604414
500.0,500,92.774703
500.0,500,92.941353
500.0,500,93.109674
500.0,500,94.506842
500.0,500,94.687221
500.0,500,94.863585
500.0,500,95.040803
500.0,500,96.300079
500.0,500,96.47719
500.0,500,96.64387
500.0,500,96.811536
500.0,500,98.116216
500.0,500,98.288248
500.0,500,98.467078
500.0,500,98.638894
500.0,500,100.104209
500.0,500,100.506399
500.0,500,100.878184
500.0,500,101.247648
500.0,500,101.615349
500.0,500,103.084197
500.0,500,103.247666
500.0,500,103.414512
500.0,500,103.591226
500.0,500,105.052668
500.0,500,105.421636
500.0,500,105.790827
500.0,500,106.161036
500.0,500,107.660859
500.0,500,108.028329
500.0,500,108.394526
500.0,500,108.76267
500.0,500,110.249736
500.0,500,110.409596
500.0,500,110.572051
500.0,500,110.735679
500.0,500,112.04116
500.0,500,112.209471
500.0,500,112.371445
500.0,500,112.536145
500.0,500,113.856724
500.0,500,114.017694
500.0,500,114.180139
500.0,500,114.342924
500.0,500,115.708199
500.0,500,116.076287
500.0,500,116.445312
500.0,500,116.813964
500.0,500,118.191322
500.0,500,118.352463
500.0,500,118.629159
500.0,500,119.001039
500.0,500,120.409226
500.0,500,120.575161
500.0,500,120.740728
500.0,500,120.907996
500.0,500,122.130083
500.0,500,122.39378
500.0,500,122.762885
500.0,500,123.129259
500.0,500,123.49595
500.0,500,124.738292
500.0,500,124.904223
500.0,500,125.067671
500.0,500,125.23244
500.0,500,126.472929
500.0,500,126.63445
500.0,500,126.796366
500.0,500,126.971067
500.0,500,128.192628
500.0,500,128.358179
500.0,500,128.519886
500.0,500,128.692059
500.0,500,129.961928
500.0,500,130.122914
500.0,500,130.286485
500.0,500,130.454537
500.0,500,131.716438
500.0,500,131.890055
500.0,500,132.060548
500.0,500,132.234059
500.0,500,133.808143
500.0,500,134.177056
500.0,500,134.545523
500.0,500,134.911987
500.0,500,136.573741
500.0,500,136.737203
500.0,500,136.900845
500.0,500,137.06433
500.0,500,138.383622
500.0,500,138.547841
500.0,500,138.742821
500.0,500,138.918884
500.0,500,140.220028
500.0,500,140.387626
500.0,500,140.554718
500.0,500,140.718937
500.0,500,142.108267
500.0,500,142.279293
500.0,500,142.450732
500.0,500,142.614627
500.0,500,143.893405
500.0,500,144.064919
500.0,500,144.237389
500.0,500,144.399503
500.0,500,144.563284
500.0,500,145.88754
500.0,500,146.057924
500.0,500,146.245577
500.0,500,146.407412
500.0,500,147.664688
500.0,500,147.848445
500.0,500,148.013987
500.0,500,148.179253
500.0,500,149.670796
500.0,500,149.927118
500.0,500,150.174987
500.0,500,150.333608
500.0,500,152.196739
500.0,500,152.56537
500.0,500,152.932699
500.0,500,153.304337
500.0,500,154.750415
500.0,500,154.942158
500.0,500,155.122838
500.0,500,155.303096
500.0,500,156.620252
500.0,500,156.782219
500.0,500,156.946404
500.0,500,157.112488
500.0,500,158.488608
500.0,500,158.65716
500.0,500,158.827365
500.0,500,158.994732
500.0,500,160.502447
500.0,500,160.678392
500.0,500,160.849417
500.0,500,161.018369
500.0,500,162.355887
500.0,500,162.518332
500.0,500,162.680146
500.0,500,162.854821
500.0,500,164.210998
500.0,500,164.382612
500.0,500,164.545804
500.0,500,164.712524
500.0,500,164.878637
500.0,500,166.116113
500.0,500,166.27812
500.0,500,166.439923
500.0,500,166.601709
500.0,500,167.988843
500.0,500,168.149997
500.0,500,168.32373
500.0,500,168.483453
500.0,500,169.872932
500.0,500,170.044859
500.0,500,170.216316
500.0,500,170.389535
500.0,500,171.842888
500.0,500,172.237502
500.0,500,172.61182
500.0,500,172.984097
500.0,500,174.626612
500.0,500,174.995143
500.0,500,175.361887
500.0,500,175.729098
500.0,500,177.37975
500.0,500,177.54923
500.0,500,177.711638
500.0,500,177.878985
