#{"t_start": 1780075705.8030963, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.019059
32.0,32,0.039455
10.0,10,0.044409
39.0,39,0.075011
28.0,28,0.091859
13.0,13,0.09882
22.0,22,0.111437
12.0,12,0.119934
20.0,20,0.129479
20.0,20,0.142836
17.0,17,0.151761
32.0,32,0.171476
13.0,13,0.177237
28.0,28,0.189603
20.0,20,0.198094
20.0,20,0.206823
19.0,19,0.215244
22.0,22,0.22523
27.0,27,0.237125
16.0,16,0.244165
44.0,44,0.265075
15.0,15,0.271883
13.0,13,0.277612
11.0,11,0.282565
16.0,16,0.289826
14.0,14,0.296163
13.0,13,0.301776
17.0,17,0.309291
17.0,17,0.316792
15.0,15,0.323571
13.0,13,0.32924
13.0,13,0.338698
10.0,10,0.343238
16.0,16,0.349834
14.0,14,0.355982
13.0,13,0.361648
13.0,13,0.367302
29.0,29,0.379966
20.0,20,0.390888
21.0,21,0.39974
14.0,14,0.406466
53.0,53,0.42985
48.0,48,0.45058
22.0,22,0.460173
32.0,32,0.474586
13.0,13,0.480109
17.0,17,0.487646
11.0,11,0.492558
13.0,13,0.498243
13.0,13,0.503831
15.0,15,0.510374
17.0,17,0.517662
24.0,24,0.528011
20.0,20,0.53689
13.0,13,0.542585
22.0,22,0.552038
16.0,16,0.558733
8.0,8,0.562156
15.0,15,0.568356
13.0,13,0.574291
21.0,21,0.690654
12.0,12,0.761639
30.0,30,0.812266
20.0,20,0.823202
12.0,12,0.828108
34.0,34,0.844649
14.0,14,0.850575
25.0,25,0.861527
16.0,16,0.868658
28.0,28,0.88112
41.0,41,0.89889
40.0,40,0.916954
24.0,24,0.927479
19.0,19,0.935807
25.0,25,0.94666
13.0,13,0.975663
30.0,30,1.061521
37.0,37,1.076597
15.0,15,1.082629
29.0,29,1.094723
21.0,21,1.103594
26.0,26,1.114483
32.0,32,1.127727
25.0,25,1.13809
12.0,12,1.14291
22.0,22,1.152119
20.0,20,1.160545
30.0,30,1.173041
27.0,27,1.184548
14.0,14,1.190198
36.0,36,1.206248
14.0,14,1.212371
20.0,20,1.220577
17.0,17,1.228159
18.0,18,1.235959
14.0,14,1.24223
14.0,14,1.248459
21.0,21,1.257725
19.0,19,1.266046
22.0,22,2.927592
13.0,13,2.938248
15.0,15,2.95013
20.0,20,2.965954
17.0,17,2.97914
35.0,35,3.00638
33.0,33,3.031908
32.0,32,3.057023
21.0,21,3.073268
10.0,10,3.080895
21.0,21,3.097141
19.0,19,3.111707
17.0,17,3.124971
14.0,14,3.135675
47.0,47,3.171996
15.0,15,3.18347
26.0,26,3.203443
19.0,19,3.217728
54.0,54,3.25877
31.0,31,3.282432
19.0,19,3.297147
16.0,16,3.309471
11.0,11,3.318042
27.0,27,3.338881
34.0,34,3.364754
20.0,20,3.379759
75.0,75,3.436948
15.0,15,3.448556
13.0,13,3.458424
24.0,24,3.476893
29.0,29,3.498855
22.0,22,3.515701
18.0,18,3.5294
32.0,32,3.553668
17.0,17,3.566772
24.0,24,3.584827
23.0,23,3.602467
21.0,21,3.618577
32.0,32,3.643203
11.0,11,3.651587
10.0,10,3.659382
59.0,59,3.704354
40.0,40,3.734805
12.0,12,3.743976
31.0,31,3.768026
20.0,20,3.783653
44.0,44,3.81738
19.0,19,3.831703
18.0,18,3.845814
74.0,74,3.902548
20.0,20,3.918068
42.0,42,3.950037
27.0,27,3.970661
18.0,18,3.984518
28.0,28,4.006017
43.0,43,4.039141
17.0,17,4.051881
31.0,31,4.075725
36.0,36,4.103365
21.0,21,4.119491
47.0,47,4.155467
17.0,17,4.168252
19.0,19,4.182583
33.0,33,4.207864
38.0,38,4.236802
64.0,64,4.285547
33.0,33,4.310871
57.0,57,4.354379
31.0,31,4.378144
31.0,31,4.401771
15.0,15,4.413358
40.0,40,4.444201
29.0,29,4.466868
18.0,18,4.481409
55.0,55,5.799059
17.0,17,5.806194
26.0,26,5.816229
41.0,41,5.829965
85.0,85,5.859267
38.0,38,5.872574
70.0,70,5.896674
22.0,22,5.905141
23.0,23,5.91313
44.0,44,5.929552
32.0,32,5.941442
24.0,24,5.949239
13.0,13,5.954391
44.0,44,5.969721
23.0,23,5.97768
32.0,32,5.989966
19.0,19,5.996344
14.0,14,6.001743
22.0,22,6.009113
19.0,19,6.015543
31.0,31,6.027441
28.0,28,6.038056
47.0,47,6.055982
67.0,67,6.079234
31.0,31,6.089898
21.0,21,6.097408
31.0,31,6.108483
88.0,88,6.140099
23.0,23,6.148481
28.0,28,6.158738
50.0,50,6.17703
13.0,13,6.182137
32.0,32,6.194201
46.0,46,6.210269
32.0,32,6.221892
12.0,12,6.225785
52.0,52,6.244506
15.0,15,6.249713
24.0,24,6.259292
16.0,16,6.264623
83.0,83,6.293255
36.0,36,6.306505
23.0,23,6.314818
38.0,38,6.328047
23.0,23,6.336535
29.0,29,6.346328
16.0,16,6.352337
44.0,44,6.368154
69.0,69,6.391603
11.0,11,6.395475
25.0,25,6.404106
14.0,14,6.408797
21.0,21,6.415639
61.0,61,6.43681
19.0,19,6.442953
48.0,48,6.459527
86.0,86,6.489172
12.0,12,6.493133
43.0,43,7.770848
27.0,27,7.780409
20.0,20,7.787667
60.0,60,7.807674
62.0,62,7.828837
44.0,44,7.844274
22.0,22,7.85205
26.0,26,7.861139
24.0,24,7.869385
53.0,53,7.887288
81.0,81,7.916018
41.0,41,7.930739
17.0,17,7.936719
11.0,11,7.940679
118.0,118,7.985711
101.0,101,8.01942
42.0,42,8.033264
19.0,19,8.039731
63.0,63,8.060829
42.0,42,8.075223
67.0,67,8.097439
54.0,54,8.115875
56.0,56,8.134462
54.0,54,8.152714
39.0,39,8.167407
67.0,67,8.190398
33.0,33,8.201783
123.0,123,8.244085
62.0,62,8.264987
22.0,22,8.273074
