#{"t_start": 1780075705.8035536, "env_id": "CartPole-v1"}
r,l,t
171.0,171,15.365851
440.0,440,16.792875
204.0,204,16.862009
223.0,223,16.947582
213.0,213,17.023256
207.0,207,17.093775
500.0,500,17.270841
256.0,256,17.36078
294.0,294,18.582496
250.0,250,18.670552
222.0,222,18.748495
116.0,116,18.790236
263.0,263,18.879756
342.0,342,19.003861
175.0,175,19.059658
500.0,500,20.317622
280.0,280,20.412729
500.0,500,20.578629
500.0,500,20.742491
500.0,500,20.904706
500.0,500,22.302972
500.0,500,22.502853
424.0,424,22.645425
500.0,500,22.830652
500.0,500,24.146365
500.0,500,24.320234
500.0,500,24.47981
500.0,500,24.640203
500.0,500,27.206435
500.0,500,27.578219
500.0,500,27.950512
500.0,500,28.32255
500.0,500,30.119682
500.0,500,30.506136
500.0,500,30.873331
500.0,500,31.270238
500.0,500,32.773273
500.0,500,32.979039
500.0,500,33.144293
500.0,500,33.312311
500.0,500,33.476955
500.0,500,34.758069
500.0,500,34.942941
500.0,500,35.122794
500.0,500,35.294637
500.0,500,37.741942
500.0,500,37.951361
500.0,500,38.154682
500.0,500,38.35993
500.0,500,39.8552
500.0,500,40.015573
500.0,500,40.177977
500.0,500,40.340674
500.0,500,41.768153
500.0,500,41.931252
500.0,500,42.091531
500.0,500,42.252874
500.0,500,43.486175
500.0,500,43.671446
500.0,500,43.833772
500.0,500,43.998793
500.0,500,45.298259
500.0,500,45.617754
500.0,500,45.990099
500.0,500,46.359591
500.0,500,47.780058
500.0,500,47.948353
500.0,500,48.123608
500.0,500,48.292208
500.0,500,50.030044
500.0,500,50.396487
500.0,500,50.76288
500.0,500,51.130319
500.0,500,53.118991
500.0,500,53.496539
500.0,500,53.869186
500.0,500,54.241656
500.0,500,56.133245
500.0,500,56.503517
500.0,500,56.87317
500.0,500,57.241965
500.0,500,59.022694
500.0,500,59.356997
500.0,500,59.723958
500.0,500,60.087586
500.0,500,60.451392
500.0,500,61.737903
500.0,500,61.922766
500.0,500,62.079915
500.0,500,62.237601
500.0,500,63.470033
500.0,500,63.632411
500.0,500,63.800153
500.0,500,63.959036
