#{"t_start": 1780075705.8026283, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.018893
25.0,25,0.035682
13.0,13,0.042622
24.0,24,0.059301
29.0,29,0.08089
22.0,22,0.093703
27.0,27,0.109372
20.0,20,0.121846
23.0,23,0.13309
9.0,9,0.140904
21.0,21,0.151079
23.0,23,0.165146
16.0,16,0.174429
21.0,21,0.183903
25.0,25,0.194654
28.0,28,0.206663
15.0,15,0.213611
26.0,26,0.225106
27.0,27,0.23703
28.0,28,0.249851
14.0,14,0.257239
20.0,20,0.266075
33.0,33,0.280776
21.0,21,0.290181
18.0,18,0.298478
30.0,30,0.311486
24.0,24,0.322119
17.0,17,0.329574
20.0,20,0.34239
11.0,11,0.346926
14.0,14,0.352788
46.0,46,0.373148
18.0,18,0.38097
14.0,14,0.389008
68.0,68,0.419058
21.0,21,0.428428
17.0,17,0.436022
16.0,16,0.442942
21.0,21,0.452113
19.0,19,0.46007
16.0,16,0.467146
17.0,17,0.474951
18.0,18,0.482682
15.0,15,0.489501
15.0,15,0.496073
40.0,40,0.513305
24.0,24,0.523683
12.0,12,0.529055
34.0,34,0.54404
40.0,40,0.560942
14.0,14,0.566795
19.0,19,0.575956
14.0,14,0.655141
27.0,27,0.804069
32.0,32,0.819777
18.0,18,0.827233
12.0,12,0.832143
58.0,58,0.859324
15.0,15,0.865972
25.0,25,0.877135
28.0,28,0.889309
18.0,18,0.89715
22.0,22,0.907016
18.0,18,0.914968
24.0,24,0.925677
23.0,23,0.935724
16.0,16,0.942545
10.0,10,0.947032
12.0,12,0.969088
29.0,29,1.061134
14.0,14,1.066954
17.0,17,1.073831
41.0,41,1.090658
56.0,56,1.114052
14.0,14,1.119924
20.0,20,1.128126
20.0,20,1.136365
59.0,59,1.160968
22.0,22,1.170041
19.0,19,1.178301
18.0,18,1.185873
17.0,17,1.192939
20.0,20,1.201837
20.0,20,1.210419
15.0,15,1.216939
14.0,14,1.222846
33.0,33,1.237508
27.0,27,1.24944
22.0,22,1.259137
36.0,36,2.925681
39.0,39,2.956958
17.0,17,2.970406
19.0,19,2.985074
42.0,42,3.017677
38.0,38,3.046977
14.0,14,3.058314
23.0,23,3.076064
26.0,26,3.096051
