#{"t_start": 1780075388.6905503, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.011893
10.0,10,0.017375
22.0,22,0.024628
11.0,11,0.028854
14.0,14,0.033907
35.0,35,0.045081
21.0,21,0.052104
15.0,15,0.056651
9.0,9,0.059466
24.0,24,0.067716
49.0,49,0.084248
14.0,14,0.088691
10.0,10,0.091997
13.0,13,0.096337
15.0,15,0.101183
41.0,41,0.114164
20.0,20,0.120865
29.0,29,0.130507
17.0,17,0.13624
14.0,14,0.140632
32.0,32,0.151192
31.0,31,0.160779
10.0,10,0.164882
22.0,22,0.172098
25.0,25,0.180643
12.0,12,0.184486
19.0,19,0.190574
25.0,25,0.19891
39.0,39,0.211852
13.0,13,0.216734
55.0,55,0.235285
26.0,26,0.243545
14.0,14,0.248853
12.0,12,0.252692
11.0,11,0.256108
25.0,25,0.264665
18.0,18,0.270338
47.0,47,0.285799
19.0,19,0.291594
11.0,11,0.295407
39.0,39,0.308141
18.0,18,0.314686
10.0,10,0.318671
17.0,17,0.324032
15.0,15,0.329591
9.0,9,0.332649
13.0,13,0.336839
10.0,10,0.340077
21.0,21,0.347331
19.0,19,0.353273
20.0,20,0.359518
17.0,17,0.365648
23.0,23,0.372858
19.0,19,0.37938
15.0,15,0.384388
26.0,26,0.392498
20.0,20,0.399623
21.0,21,0.406046
27.0,27,0.415152
16.0,16,0.420274
31.0,31,0.431092
15.0,15,0.435802
57.0,57,0.454438
17.0,17,0.459797
12.0,12,0.464249
35.0,35,0.475226
26.0,26,0.484062
35.0,35,0.495554
41.0,41,0.508615
16.0,16,0.51459
37.0,37,0.526605
16.0,16,0.533198
36.0,36,0.544532
14.0,14,0.549541
24.0,24,0.556871
16.0,16,0.562725
47.0,47,0.57746
45.0,45,0.592178
21.0,21,0.59956
45.0,45,0.614051
14.0,14,0.618798
46.0,46,0.63424
9.0,9,0.637176
24.0,24,0.645302
34.0,34,0.656137
14.0,14,0.660649
37.0,37,0.67288
18.0,18,0.679232
20.0,20,0.685773
14.0,14,3.285807
27.0,27,3.294752
21.0,21,3.30209
60.0,60,3.322249
