#{"t_start": 1780075388.679273, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.021806
41.0,41,0.037954
15.0,15,0.043793
59.0,59,0.062985
26.0,26,0.071065
27.0,27,0.080258
17.0,17,0.086028
16.0,16,0.091401
17.0,17,0.097051
47.0,47,0.112389
62.0,62,0.132478
9.0,9,0.135307
9.0,9,0.138365
13.0,13,0.142791
16.0,16,0.148144
22.0,22,0.154976
16.0,16,0.160554
18.0,18,0.166039
12.0,12,0.169645
11.0,11,0.173942
34.0,34,0.185197
13.0,13,0.189548
18.0,18,0.195696
49.0,49,0.211838
17.0,17,0.217282
21.0,21,0.224933
15.0,15,0.2301
39.0,39,0.243437
16.0,16,0.24842
36.0,36,0.260788
16.0,16,0.265815
35.0,35,0.277557
28.0,28,0.286224
15.0,15,0.291488
16.0,16,0.296687
16.0,16,0.301634
25.0,25,0.310306
43.0,43,0.324607
13.0,13,0.329521
77.0,77,0.354948
35.0,35,0.366735
15.0,15,0.371452
36.0,36,0.383429
31.0,31,0.393942
12.0,12,0.397869
15.0,15,0.402468
17.0,17,0.40859
17.0,17,0.413922
50.0,50,0.430273
39.0,39,0.443592
28.0,28,0.452431
10.0,10,0.455615
16.0,16,0.46128
24.0,24,0.46876
14.0,14,0.473708
24.0,24,0.481451
12.0,12,0.485175
16.0,16,0.490776
28.0,28,0.49978
38.0,38,0.512494
28.0,28,0.521106
38.0,38,0.534248
14.0,14,0.53887
36.0,36,0.551684
60.0,60,0.571039
16.0,16,0.576914
24.0,24,0.584316
23.0,23,0.592301
52.0,52,0.609189
22.0,22,0.615939
37.0,37,0.628376
20.0,20,0.634693
21.0,21,0.642232
11.0,11,0.64583
19.0,19,0.652042
14.0,14,0.657103
43.0,43,0.670514
16.0,16,0.676465
22.0,22,0.683196
21.0,21,0.690427
18.0,18,0.696294
27.0,27,3.300689
14.0,14,3.3053
67.0,67,3.328043
49.0,49,3.344755
19.0,19,3.350861
26.0,26,3.359602
16.0,16,3.364618
73.0,73,3.387723
31.0,31,3.397582
20.0,20,3.403898
56.0,56,3.421053
35.0,35,3.431949
25.0,25,3.439869
20.0,20,3.446234
10.0,10,3.449348
14.0,14,3.453791
27.0,27,3.462413
41.0,41,3.475389
22.0,22,3.48229
15.0,15,3.487127
12.0,12,3.491313
24.0,24,3.498936
23.0,23,3.506319
70.0,70,3.5293
57.0,57,3.549486
11.0,11,3.55323
24.0,24,3.56145
61.0,61,3.58137
21.0,21,3.588069
159.0,159,3.642043
29.0,29,3.652902
28.0,28,3.663842
14.0,14,3.668583
30.0,30,3.6797
13.0,13,3.684017
55.0,55,3.702024
23.0,23,3.709741
19.0,19,3.715623
39.0,39,3.728594
39.0,39,3.741358
47.0,47,3.756494
41.0,41,3.769211
31.0,31,3.779287
75.0,75,3.802764
46.0,46,3.817869
24.0,24,3.82582
23.0,23,3.83325
30.0,30,3.843729
12.0,12,3.847614
26.0,26,3.85641
18.0,18,3.862119
18.0,18,3.867543
36.0,36,3.879904
84.0,84,3.908818
17.0,17,3.914661
10.0,10,3.91789
10.0,10,3.921409
16.0,16,3.927284
17.0,17,3.932899
20.0,20,3.939516
12.0,12,3.943768
60.0,60,3.963095
10.0,10,3.966331
40.0,40,6.539035
21.0,21,6.54621
113.0,113,6.583501
26.0,26,6.59201
104.0,104,6.626779
218.0,218,6.698576
22.0,22,6.705562
117.0,117,6.743398
122.0,122,6.797024
147.0,147,6.846606
100.0,100,6.876878
14.0,14,6.881295
53.0,53,6.897691
170.0,170,6.949968
82.0,82,6.977225
67.0,67,6.999465
225.0,225,7.073299
56.0,56,7.092217
12.0,12,7.096112
27.0,27,7.104306
14.0,14,7.109652
38.0,38,7.121222
85.0,85,7.150014
15.0,15,7.155299
52.0,52,7.172287
117.0,117,7.211367
198.0,198,9.850814
147.0,147,9.896688
162.0,162,9.946187
180.0,180,10.001757
283.0,283,10.090968
307.0,307,10.186345
28.0,28,10.195565
155.0,155,10.243662
122.0,122,10.281079
213.0,213,10.349261
135.0,135,10.392306
215.0,215,13.04282
281.0,281,13.131099
234.0,234,13.201731
187.0,187,13.257665
227.0,227,13.325819
367.0,367,13.435611
312.0,312,13.528956
257.0,257,13.606077
256.0,256,16.317338
275.0,275,16.415766
233.0,233,16.512519
371.0,371,16.632497
259.0,259,16.717807
365.0,365,16.832052
306.0,306,16.92847
361.0,361,19.627728
303.0,303,19.722865
246.0,246,19.800105
310.0,310,19.898011
500.0,500,20.054516
413.0,413,22.803986
301.0,301,22.897673
289.0,289,22.985976
348.0,348,23.097947
301.0,301,23.191205
468.0,468,23.336106
486.0,486,26.112736
443.0,443,26.273931
500.0,500,26.460554
389.0,389,26.583204
497.0,497,26.746203
500.0,500,29.59493
500.0,500,29.751505
500.0,500,29.910876
500.0,500,30.069126
500.0,500,32.875008
500.0,500,33.039811
500.0,500,33.206073
500.0,500,33.371597
500.0,500,36.113606
500.0,500,36.275884
500.0,500,36.437373
500.0,500,36.599049
