#{"t_start": 1780075388.6897902, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.010451
25.0,25,0.021411
13.0,13,0.025769
24.0,24,0.034613
29.0,29,0.043796
22.0,22,0.051239
27.0,27,0.059495
20.0,20,0.066374
23.0,23,0.074153
9.0,9,0.077184
21.0,21,0.084252
23.0,23,0.091723
16.0,16,0.097048
21.0,21,0.103867
25.0,25,0.111594
28.0,28,0.120893
15.0,15,0.125852
26.0,26,0.134484
27.0,27,0.143202
28.0,28,0.152555
14.0,14,0.156795
20.0,20,0.163903
33.0,33,0.174732
21.0,21,0.182073
18.0,18,0.187875
30.0,30,0.197726
24.0,24,0.205497
17.0,17,0.21096
20.0,20,0.218569
11.0,11,0.222176
14.0,14,0.226691
46.0,46,0.242162
18.0,18,0.248595
14.0,14,0.253102
68.0,68,0.275033
21.0,21,0.282295
17.0,17,0.287837
16.0,16,0.292703
21.0,21,0.300163
19.0,19,0.305992
16.0,16,0.311154
17.0,17,0.317983
18.0,18,0.323812
15.0,15,0.328713
15.0,15,0.334384
40.0,40,0.347694
24.0,24,0.355258
12.0,12,0.358964
34.0,34,0.370432
40.0,40,0.383847
14.0,14,0.388283
19.0,19,0.394308
14.0,14,0.399382
27.0,27,0.407732
32.0,32,0.418443
18.0,18,0.424301
12.0,12,0.428263
58.0,58,0.447952
15.0,15,0.452675
25.0,25,0.460513
28.0,28,0.469997
18.0,18,0.475613
22.0,22,0.483181
18.0,18,0.488938
24.0,24,0.497156
23.0,23,0.504558
16.0,16,0.50933
10.0,10,0.512943
12.0,12,0.517389
29.0,29,0.526639
14.0,14,0.532145
17.0,17,0.538038
41.0,41,0.551587
56.0,56,0.569896
14.0,14,0.574183
20.0,20,0.581067
20.0,20,0.587376
59.0,59,0.606426
22.0,22,0.613768
19.0,19,0.620187
18.0,18,0.625835
17.0,17,0.632116
20.0,20,0.638553
20.0,20,0.645017
15.0,15,0.650461
14.0,14,0.654721
33.0,33,0.665999
27.0,27,0.67431
22.0,22,0.682048
39.0,39,3.290226
29.0,29,3.300077
35.0,35,3.311952
50.0,50,3.328785
20.0,20,3.335683
52.0,52,3.352516
27.0,27,3.360921
14.0,14,3.365792
29.0,29,3.374659
23.0,23,3.38219
74.0,74,3.404954
75.0,75,3.428385
17.0,17,3.433826
14.0,14,3.438206
39.0,39,3.4507
28.0,28,3.459374
29.0,29,3.468678
19.0,19,3.474748
96.0,96,3.505989
84.0,84,3.534984
49.0,49,3.551602
23.0,23,3.558933
12.0,12,3.563085
39.0,39,3.575559
33.0,33,3.586595
48.0,48,3.601831
13.0,13,3.605806
97.0,97,3.641286
69.0,69,3.667241
39.0,39,3.680169
35.0,35,3.691563
66.0,66,3.71287
14.0,14,3.717732
16.0,16,3.722757
18.0,18,3.72883
24.0,24,3.736831
28.0,28,3.745638
80.0,80,3.770922
28.0,28,3.77971
14.0,14,3.78419
10.0,10,3.787276
32.0,32,3.797575
28.0,28,3.806729
39.0,39,3.819577
38.0,38,3.832507
90.0,90,3.861646
17.0,17,3.867733
29.0,29,3.877499
21.0,21,3.884869
46.0,46,3.900789
64.0,64,3.922806
15.0,15,3.927594
17.0,17,3.933714
12.0,12,3.937645
50.0,50,3.953585
20.0,20,6.519597
38.0,38,6.532187
102.0,102,6.566083
122.0,122,6.606574
62.0,62,6.62736
89.0,89,6.656765
19.0,19,6.662758
73.0,73,6.686772
131.0,131,6.728474
50.0,50,6.751806
43.0,43,6.767952
66.0,66,6.794896
110.0,110,6.832251
126.0,126,6.870835
50.0,50,6.88622
146.0,146,6.931166
59.0,59,6.950329
20.0,20,6.956602
65.0,65,6.977689
142.0,142,7.025035
46.0,46,7.040585
52.0,52,7.057167
186.0,186,7.118376
284.0,284,9.789019
137.0,137,9.832792
166.0,166,9.884505
137.0,137,9.926253
117.0,117,9.961932
87.0,87,9.989335
120.0,120,10.026248
133.0,133,10.068148
322.0,322,10.169422
110.0,110,10.20376
14.0,14,10.208027
230.0,230,10.279195
59.0,59,10.297427
199.0,199,10.362398
50.0,50,10.377937
253.0,253,13.040218
412.0,412,13.168275
232.0,232,13.237519
231.0,231,13.306766
401.0,401,13.427042
304.0,304,13.517766
12.0,12,13.521474
202.0,202,13.582221
477.0,477,16.363266
500.0,500,16.557026
236.0,236,16.633411
341.0,341,16.74349
430.0,430,16.878548
240.0,240,19.539153
500.0,500,19.696924
439.0,439,19.834366
285.0,285,19.923997
321.0,321,20.024373
440.0,440,20.163788
453.0,453,22.922959
416.0,416,23.053356
500.0,500,23.210429
352.0,352,23.319482
497.0,497,26.099425
500.0,500,26.289274
500.0,500,26.465041
384.0,384,26.586683
399.0,399,26.715862
500.0,500,29.567131
500.0,500,29.723109
500.0,500,29.881581
500.0,500,30.041088
500.0,500,32.845586
500.0,500,33.01085
500.0,500,33.176655
500.0,500,33.342281
500.0,500,36.085102
500.0,500,36.247665
500.0,500,36.408786
500.0,500,36.570639
500.0,500,39.35992
500.0,500,39.518879
500.0,500,39.677277
500.0,500,39.836357
500.0,500,43.305519
500.0,500,43.500473
500.0,500,43.700392
500.0,500,43.87196
500.0,500,49.627828
500.0,500,50.009352
500.0,500,50.38449
500.0,500,50.757907
500.0,500,57.24012
500.0,500,57.610525
500.0,500,57.980059
500.0,500,58.350523
500.0,500,61.213495
500.0,500,61.369651
500.0,500,61.525121
500.0,500,61.683661
500.0,500,61.841437
500.0,500,64.525981
500.0,500,64.682936
500.0,500,64.842364
500.0,500,65.001995
500.0,500,67.715614
500.0,500,67.877621
500.0,500,68.038386
500.0,500,68.201018
500.0,500,70.860938
500.0,500,71.017357
500.0,500,71.172552
500.0,500,71.328554
500.0,500,73.982492
500.0,500,74.136835
500.0,500,74.290976
500.0,500,74.444879
500.0,500,77.130416
500.0,500,77.305583
500.0,500,77.466115
500.0,500,77.622795
500.0,500,80.33318
500.0,500,80.487333
500.0,500,80.640099
500.0,500,80.793586
500.0,500,83.439606
500.0,500,83.59566
500.0,500,83.751921
500.0,500,83.907889
500.0,500,87.60122
500.0,500,87.968331
500.0,500,88.334096
500.0,500,88.699347
500.0,500,91.606087
500.0,500,91.765352
500.0,500,91.928177
500.0,500,92.095323
500.0,500,94.755668
500.0,500,94.913388
500.0,500,95.069327
500.0,500,95.243305
500.0,500,98.158776
500.0,500,98.3193
500.0,500,98.476098
500.0,500,98.633781
500.0,500,98.789938
500.0,500,101.471603
500.0,500,101.636882
500.0,500,101.793512
500.0,500,101.953985
500.0,500,104.707893
500.0,500,104.871495
500.0,500,105.035251
500.0,500,105.19104
500.0,500,107.947284
500.0,500,108.107812
500.0,500,108.272058
500.0,500,108.427742
500.0,500,111.167598
500.0,500,111.330774
500.0,500,111.492651
500.0,500,111.657097
500.0,500,114.430838
500.0,500,114.588842
500.0,500,114.753336
500.0,500,114.926007
500.0,500,117.763046
500.0,500,117.929687
500.0,500,118.0929
500.0,500,118.256625
500.0,500,120.970179
500.0,500,121.130691
500.0,500,121.292235
500.0,500,121.452637
500.0,500,124.232728
500.0,500,124.398476
500.0,500,124.559453
500.0,500,124.734709
500.0,500,127.45638
500.0,500,127.614633
500.0,500,127.770494
500.0,500,127.938581
500.0,500,130.690186
500.0,500,130.848226
500.0,500,131.008235
500.0,500,131.169077
500.0,500,131.331409
500.0,500,134.200375
500.0,500,134.366774
500.0,500,134.530413
500.0,500,134.694494
500.0,500,137.406492
500.0,500,137.575863
500.0,500,137.735013
500.0,500,137.893647
500.0,500,140.539255
500.0,500,140.694509
500.0,500,140.850686
500.0,500,141.005641
500.0,500,143.769618
500.0,500,143.929717
500.0,500,144.113168
500.0,500,144.295577
500.0,500,147.301198
500.0,500,147.549167
500.0,500,147.825388
500.0,500,148.1185
500.0,500,152.06041
500.0,500,152.27597
500.0,500,152.488529
500.0,500,152.697561
500.0,500,155.529416
500.0,500,155.69688
500.0,500,155.861891
500.0,500,156.028598
500.0,500,158.98201
500.0,500,159.146128
500.0,500,159.311671
500.0,500,159.478477
500.0,500,163.461082
500.0,500,163.703708
500.0,500,163.946593
500.0,500,164.184188
500.0,500,168.356422
500.0,500,168.724502
500.0,500,169.091121
500.0,500,169.457232
500.0,500,175.960373
500.0,500,176.148855
500.0,500,176.306652
500.0,500,176.46291
