#{"t_start": 1780075388.6901898, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.010516
32.0,32,0.023596
10.0,10,0.027102
39.0,39,0.040535
28.0,28,0.049897
13.0,13,0.054029
22.0,22,0.060873
12.0,12,0.064876
20.0,20,0.071633
20.0,20,0.078525
17.0,17,0.084228
32.0,32,0.094598
13.0,13,0.098952
28.0,28,0.107838
20.0,20,0.11413
20.0,20,0.120852
19.0,19,0.127098
22.0,22,0.134592
27.0,27,0.143153
16.0,16,0.148641
44.0,44,0.163099
15.0,15,0.168052
13.0,13,0.172421
11.0,11,0.175976
16.0,16,0.181711
14.0,14,0.186165
13.0,13,0.190219
17.0,17,0.195874
17.0,17,0.201651
15.0,15,0.206432
13.0,13,0.210602
13.0,13,0.215762
10.0,10,0.219247
16.0,16,0.224361
14.0,14,0.229403
13.0,13,0.233809
13.0,13,0.237883
29.0,29,0.247847
20.0,20,0.254257
21.0,21,0.260787
14.0,14,0.266007
53.0,53,0.283224
48.0,48,0.299055
22.0,22,0.305937
32.0,32,0.317622
13.0,13,0.321822
17.0,17,0.327305
11.0,11,0.331699
13.0,13,0.335921
13.0,13,0.340058
15.0,15,0.344709
17.0,17,0.350808
24.0,24,0.358225
20.0,20,0.365325
13.0,13,0.369383
22.0,22,0.376356
16.0,16,0.382078
8.0,8,0.38471
15.0,15,0.389428
13.0,13,0.393558
21.0,21,0.400898
12.0,12,0.404543
30.0,30,0.4145
20.0,20,0.420982
12.0,12,0.42496
34.0,34,0.436509
14.0,14,0.440867
25.0,25,0.449455
16.0,16,0.454441
28.0,28,0.463917
41.0,41,0.476826
40.0,40,0.490172
24.0,24,0.498448
19.0,19,0.504524
25.0,25,0.512599
13.0,13,0.517374
30.0,30,0.526924
37.0,37,0.540148
15.0,15,0.54484
29.0,29,0.55455
21.0,21,0.561176
26.0,26,0.570132
32.0,32,0.58071
25.0,25,0.588588
12.0,12,0.592157
22.0,22,0.599883
20.0,20,0.606061
30.0,30,0.616114
27.0,27,0.624787
14.0,14,0.630001
36.0,36,0.641819
14.0,14,0.646971
20.0,20,0.653062
17.0,17,0.658346
18.0,18,0.664904
14.0,14,0.669298
14.0,14,0.673576
21.0,21,0.680943
19.0,19,0.687075
19.0,19,3.288733
32.0,32,3.299723
17.0,17,3.305437
40.0,40,3.319031
24.0,24,3.326875
59.0,59,3.346607
17.0,17,3.352158
22.0,22,3.358868
59.0,59,3.377913
47.0,47,3.392627
40.0,40,3.404916
17.0,17,3.410197
30.0,30,3.419445
62.0,62,3.439125
39.0,39,3.451554
23.0,23,3.458599
66.0,66,3.480028
20.0,20,3.486444
24.0,24,3.494088
41.0,41,3.507489
22.0,22,3.514683
20.0,20,3.521645
36.0,36,3.534629
31.0,31,3.545039
108.0,108,3.5807
122.0,122,3.620752
31.0,31,3.633234
12.0,12,3.637551
66.0,66,3.661701
33.0,33,3.673495
40.0,40,3.686874
50.0,50,3.702851
20.0,20,3.709114
12.0,12,3.713312
35.0,35,3.724679
20.0,20,3.731463
59.0,59,3.750444
30.0,30,3.759667
36.0,36,3.771223
91.0,91,3.800375
25.0,25,3.808253
24.0,24,3.816188
31.0,31,3.826039
16.0,16,3.832145
37.0,37,3.844373
27.0,27,3.853052
16.0,16,3.857855
22.0,22,3.865684
67.0,67,3.88853
47.0,47,3.904747
85.0,85,3.934103
25.0,25,3.94207
60.0,60,6.521141
71.0,71,6.544237
17.0,17,6.549683
42.0,42,6.563767
92.0,92,6.594688
27.0,27,6.603668
20.0,20,6.609938
147.0,147,6.658817
63.0,63,6.67947
28.0,28,6.688685
97.0,97,6.719634
62.0,62,6.744023
42.0,42,6.759837
21.0,21,6.770157
67.0,67,6.79686
96.0,96,6.829365
222.0,222,6.897455
17.0,17,6.90277
140.0,140,6.946663
186.0,186,7.007918
12.0,12,7.012114
71.0,71,7.03571
142.0,142,7.082332
43.0,43,7.096357
124.0,124,7.137254
24.0,24,7.146042
51.0,51,7.162562
17.0,17,7.168077
96.0,96,7.199507
174.0,174,9.831667
189.0,189,9.890663
142.0,142,9.93401
74.0,74,9.956397
229.0,229,10.027449
54.0,54,10.044469
183.0,183,10.102665
152.0,152,10.149944
315.0,315,10.248195
215.0,215,10.314577
145.0,145,10.362782
58.0,58,10.380719
212.0,212,13.030327
372.0,372,13.146402
246.0,246,13.220211
242.0,242,13.292531
485.0,485,13.438133
248.0,248,13.511873
500.0,500,16.296186
324.0,324,16.412559
292.0,292,16.526118
326.0,326,16.631963
287.0,287,16.724958
305.0,305,16.820512
356.0,356,16.93268
261.0,261,19.600675
315.0,315,19.699825
453.0,453,19.841905
