#{"t_start": 1780075388.6908958, "env_id": "CartPole-v1"}
r,l,t
26.0,26,0.016009
22.0,22,0.023248
24.0,24,0.032252
20.0,20,0.038516
10.0,10,0.041698
10.0,10,0.045102
30.0,30,0.054833
19.0,19,0.060884
17.0,17,0.066676
22.0,22,0.074052
36.0,36,0.086167
11.0,11,0.089696
22.0,22,0.097006
16.0,16,0.10214
15.0,15,0.106809
54.0,54,0.124361
20.0,20,0.131239
19.0,19,0.137532
19.0,19,0.143424
15.0,15,0.1486
45.0,45,0.1635
18.0,18,0.169452
14.0,14,0.174016
23.0,23,0.181967
14.0,14,0.186425
13.0,13,0.190576
33.0,33,0.201616
13.0,13,0.205758
32.0,32,0.217137
12.0,12,0.221127
19.0,19,0.227233
30.0,30,0.237538
9.0,9,0.240423
12.0,12,0.24427
15.0,15,0.249868
23.0,23,0.256999
35.0,35,0.268693
18.0,18,0.274296
29.0,29,0.284122
30.0,30,0.29343
17.0,17,0.299757
19.0,19,0.305591
17.0,17,0.311292
11.0,11,0.315789
54.0,54,0.334258
20.0,20,0.340683
35.0,35,0.352247
18.0,18,0.35791
24.0,24,0.366267
27.0,27,0.374668
13.0,13,0.379424
17.0,17,0.385036
17.0,17,0.390227
42.0,42,0.404186
12.0,12,0.4079
12.0,12,0.412095
36.0,36,0.42392
30.0,30,0.434198
19.0,19,0.440206
31.0,31,0.450665
21.0,21,0.457211
31.0,31,0.467598
28.0,28,0.476478
13.0,13,0.481116
14.0,14,0.485713
47.0,47,0.501261
18.0,18,0.50678
13.0,13,0.510776
11.0,11,0.515248
16.0,16,0.520511
13.0,13,0.524509
26.0,26,0.534475
52.0,52,0.551438
17.0,17,0.556566
28.0,28,0.566326
63.0,63,0.586654
31.0,31,0.596932
11.0,11,0.600433
15.0,15,0.604996
16.0,16,0.609819
16.0,16,0.615789
16.0,16,0.620949
44.0,44,0.635827
63.0,63,0.656415
15.0,15,0.661656
12.0,12,0.665869
13.0,13,0.669813
16.0,16,0.674745
26.0,26,0.683767
124.0,124,3.320919
37.0,37,3.333559
45.0,45,3.348376
35.0,35,3.35916
25.0,25,3.367516
60.0,60,3.386345
39.0,39,3.398585
22.0,22,3.405163
126.0,126,3.444799
30.0,30,3.454213
60.0,60,3.473312
94.0,94,3.503899
28.0,28,3.512995
15.0,15,3.51809
17.0,17,3.523963
24.0,24,3.532797
25.0,25,3.541267
58.0,58,3.560469
58.0,58,3.579602
16.0,16,3.584857
30.0,30,3.594284
37.0,37,3.605994
26.0,26,3.614977
42.0,42,3.631069
20.0,20,3.638488
11.0,11,3.642337
18.0,18,3.649912
13.0,13,3.654212
17.0,17,3.660239
22.0,22,3.668484
11.0,11,3.672072
21.0,21,3.679124
14.0,14,3.683839
29.0,29,3.693093
24.0,24,3.700936
35.0,35,3.712198
79.0,79,3.73825
27.0,27,3.746749
103.0,103,3.779373
29.0,29,3.788462
31.0,31,3.798673
13.0,13,3.802801
12.0,12,3.806628
11.0,11,3.810094
26.0,26,3.818883
36.0,36,3.831038
11.0,11,3.834794
28.0,28,3.844102
50.0,50,3.859838
36.0,36,3.872309
27.0,27,3.881772
85.0,85,3.910955
16.0,16,3.916786
14.0,14,3.921354
62.0,62,3.942077
18.0,18,3.947846
19.0,19,3.953777
18.0,18,6.519351
145.0,145,6.567427
159.0,159,6.620596
43.0,43,6.635231
23.0,23,6.642377
74.0,74,6.666739
52.0,52,6.683445
206.0,206,6.756285
29.0,29,6.768935
49.0,49,6.789307
95.0,95,6.822315
139.0,139,6.864913
91.0,91,6.893041
77.0,77,6.916824
121.0,121,6.955166
82.0,82,6.982656
117.0,117,7.021146
26.0,26,7.030068
80.0,80,7.055737
127.0,127,7.098106
17.0,17,7.103325
84.0,84,7.131048
126.0,126,7.172875
35.0,35,7.184554
180.0,180,9.819224
248.0,248,9.896851
63.0,63,9.915833
161.0,161,9.965167
154.0,154,10.012921
168.0,168,10.065433
78.0,78,10.090929
251.0,251,10.169009
199.0,199,10.231074
70.0,70,10.252786
167.0,167,10.303888
199.0,199,10.369106
337.0,337,13.058633
373.0,373,13.17312
237.0,237,13.243912
340.0,340,13.34611
252.0,252,13.421252
230.0,230,13.490209
176.0,176,13.542845
342.0,342,16.278044
296.0,296,16.374055
354.0,354,16.519187
500.0,500,16.683203
393.0,393,16.806004
324.0,324,16.90782
294.0,294,19.58617
400.0,400,19.712216
500.0,500,19.869086
350.0,350,19.978841
300.0,300,20.073663
326.0,326,22.795512
500.0,500,22.949678
402.0,402,23.076376
500.0,500,23.233239
389.0,389,23.353012
255.0,255,26.053589
500.0,500,26.222043
500.0,500,26.422485
500.0,500,26.581347
500.0,500,26.746394
500.0,500,29.593632
500.0,500,29.750694
500.0,500,29.909644
472.0,472,30.059307
500.0,500,32.865243
500.0,500,33.030531
500.0,500,33.196884
500.0,500,33.362336
500.0,500,36.103758
500.0,500,36.266078
500.0,500,36.42772
500.0,500,36.589208
500.0,500,39.378398
500.0,500,39.536979
500.0,500,39.695708
500.0,500,39.854574
500.0,500,43.327001
500.0,500,43.520898
500.0,500,43.719216
500.0,500,43.891841
500.0,500,49.676547
500.0,500,50.053916
500.0,500,50.42871
500.0,500,50.80213
500.0,500,57.284037
500.0,500,57.65448
500.0,500,58.023866
500.0,500,58.393958
500.0,500,61.232133
500.0,500,61.388062
500.0,500,61.543534
500.0,500,61.701587
500.0,500,64.388991
500.0,500,64.544417
500.0,500,64.700927
500.0,500,64.86059
500.0,500,67.572335
500.0,500,67.73524
500.0,500,67.896664
500.0,500,68.056969
500.0,500,68.219345
500.0,500,70.878265
500.0,500,71.035172
500.0,500,71.190145
500.0,500,71.34636
500.0,500,74.000042
500.0,500,74.154403
500.0,500,74.308542
500.0,500,74.462996
500.0,500,77.149121
500.0,500,77.323948
500.0,500,77.484546
500.0,500,77.640211
500.0,500,80.351053
500.0,500,80.504948
500.0,500,80.657575
500.0,500,80.811132
500.0,500,83.457476
500.0,500,83.613704
500.0,500,83.769996
500.0,500,83.92529
500.0,500,87.644991
500.0,500,88.011501
500.0,500,88.377176
500.0,500,88.742425
500.0,500,91.624284
500.0,500,91.783514
500.0,500,91.95066
500.0,500,92.113498
500.0,500,94.773271
500.0,500,94.931335
500.0,500,95.087281
500.0,500,95.26088
500.0,500,98.179254
500.0,500,98.337492
500.0,500,98.493869
500.0,500,98.651438
500.0,500,101.330684
500.0,500,101.48952
500.0,500,101.654605
500.0,500,101.812047
500.0,500,101.971572
500.0,500,104.727145
500.0,500,104.889832
500.0,500,105.053128
500.0,500,105.208898
500.0,500,107.965537
500.0,500,108.126461
500.0,500,108.290607
500.0,500,108.445682
500.0,500,111.185714
500.0,500,111.349759
500.0,500,111.509921
500.0,500,111.675768
500.0,500,114.449603
500.0,500,114.606956
500.0,500,114.77396
500.0,500,114.946342
500.0,500,117.781777
500.0,500,117.948432
500.0,500,118.112078
500.0,500,118.274743
500.0,500,120.988684
500.0,500,121.149793
500.0,500,121.31023
500.0,500,121.470645
500.0,500,124.253379
500.0,500,124.418221
500.0,500,124.578183
500.0,500,124.752494
500.0,500,127.474659
500.0,500,127.632952
500.0,500,127.788767
500.0,500,127.957196
500.0,500,130.708133
500.0,500,130.866649
500.0,500,131.026857
500.0,500,131.187632
500.0,500,134.053999
500.0,500,134.219278
500.0,500,134.385398
500.0,500,134.549256
500.0,500,137.26127
500.0,500,137.425149
500.0,500,137.594727
500.0,500,137.75328
500.0,500,137.912123
500.0,500,140.556925
500.0,500,140.712504
500.0,500,140.868509
500.0,500,141.023228
500.0,500,143.788348
500.0,500,143.948746
500.0,500,144.132006
500.0,500,144.314275
500.0,500,147.330256
500.0,500,147.580277
500.0,500,147.856408
500.0,500,148.149868
500.0,500,152.085643
500.0,500,152.300909
500.0,500,152.513323
500.0,500,152.717684
500.0,500,155.548796
500.0,500,155.715891
500.0,500,155.881368
500.0,500,156.048227
500.0,500,159.00394
500.0,500,159.164643
500.0,500,159.329909
500.0,500,159.497075
500.0,500,163.490172
500.0,500,163.73116
500.0,500,163.975887
500.0,500,164.202798
500.0,500,168.400198
500.0,500,168.767875
500.0,500,169.134807
500.0,500,169.500495
500.0,500,176.004921
500.0,500,176.166807
500.0,500,176.324571
500.0,500,176.480898
500.0,500,179.220965
500.0,500,179.38039
500.0,500,179.538963
500.0,500,179.696897
500.0,500,179.854927
500.0,500,183.480083
500.0,500,183.680094
500.0,500,183.891459
500.0,500,184.106362
500.0,500,188.881392
500.0,500,189.042536
500.0,500,189.203022
500.0,500,189.364125
500.0,500,192.153466
500.0,500,192.317282
500.0,500,192.488054
500.0,500,192.653793
500.0,500,195.481943
500.0,500,195.644472
500.0,500,195.809104
500.0,500,195.973264
500.0,500,198.75695
500.0,500,198.936992
500.0,500,199.098964
500.0,500,199.262461
500.0,500,202.056395
500.0,500,202.217366
500.0,500,202.379818
500.0,500,202.540083
500.0,500,205.374761
500.0,500,205.534084
500.0,500,205.693757
500.0,500,205.85516
500.0,500,208.633574
500.0,500,208.80728
