#{"t_start": 1780409706.605202, "env_id": "Ant-v4"}
r,l,t
-39.546331,34,0.06214
-88.558757,42,0.132201
-23.356342,20,0.164198
-1027.793035,1000,1.781647
-97.712553,63,1.881977
-50.285742,34,1.936658
-10.2767,43,2.01374
-29.704311,19,2.044513
-16.099041,35,2.101228
-26.275903,23,2.138553
-28.548027,32,2.190015
-90.464098,63,2.292703
-1055.592572,1000,5.544039
-17.00882,18,5.573064
-67.689989,53,5.657204
-51.731351,50,5.73753
-67.725281,48,5.814265
-28.240611,24,5.852912
-120.123624,116,6.038986
-176.187129,160,6.296622
-16.913343,13,6.317489
-18.025025,13,6.338367
-90.019748,101,6.499673
-16.93778,15,6.523862
-19.453208,17,6.551674
-19.343095,19,6.582498
-12.957356,22,6.617836
-44.593862,46,6.691232
-30.851355,21,6.724266
-144.813449,134,6.937691
-8.614148,7,6.949096
-17.870806,18,6.97755
-1125.826101,1000,10.276018
-947.085531,1000,11.898443
-41.099524,30,11.947229
-9.180399,18,11.976374
-35.75708,23,12.013738
-59.965553,40,12.078397
-35.840687,80,12.207493
-8.888631,26,12.249525
-32.822399,28,12.296264
-15.15378,17,12.323578
-18.040296,52,12.408222
-11.025758,12,12.427789
-199.705718,171,12.703936
-90.645537,72,12.819763
-65.814126,117,13.008526
-37.617844,25,13.048743
-917.333555,1000,16.156821
-68.772517,48,16.234675
-36.517925,93,16.385566
-64.98227,42,16.453909
-19.029491,22,16.48958
-40.818159,47,16.566396
-46.790201,32,16.61879
-6.42715,19,16.650036
-81.974979,88,16.79398
-26.124693,30,16.842936
-60.769127,65,16.948793
-12.688026,15,16.97335
-6.607992,29,17.020128
-7.498723,10,17.036523
-115.836998,105,17.207625
-45.305411,38,17.269862
-134.062629,71,17.385966
-8.609361,17,17.413762
-5.575319,47,17.490132
-18.693287,42,17.557982
-18.067591,42,17.626132
-47.290751,42,17.694252
-9.196369,11,17.712486
-5.640677,9,17.727121
-20.883617,31,17.777628
-27.566731,47,17.853741
-8.803198,16,17.879669
-138.387919,139,19.655506
-29.830927,35,19.712348
-44.41875,51,19.794994
-10.499351,9,19.809341
-46.963513,77,19.932647
-26.910244,59,20.032952
-87.911002,73,20.149392
-31.087798,62,20.24912
-16.416565,29,20.29597
-29.360082,50,20.376656
-897.289189,1000,21.99628
-57.661101,88,22.136911
-67.780592,69,22.248873
4.371683,27,22.292892
-55.974814,92,22.440569
-32.979601,43,22.509461
-26.068406,24,22.547953
-22.16087,40,22.611539
-38.613463,49,22.689898
-44.864431,80,22.818677
-104.023416,101,24.54779
-46.874009,58,24.640889
-32.049832,20,24.673051
-1.34464,23,24.710113
-92.708301,85,24.845561
-11.062244,18,24.874335
-12.576162,23,24.911071
-113.952653,95,25.063655
-47.796623,30,25.111631
-24.840779,18,25.14118
-23.6463,16,25.166809
-46.25738,24,25.205291
-62.971157,47,25.282989
-3.161895,15,25.307666
-849.635144,1000,26.934644
-890.876197,1000,30.157475
-10.330435,27,30.201397
-9.187634,27,30.244995
-10.755621,46,30.32033
-2.928544,17,30.347659
0.93978,7,30.359046
-113.641263,95,30.513432
-165.929415,160,30.774281
2.602818,62,30.87492
-44.853195,41,30.941973
-12.829726,13,30.963092
-4.143191,65,31.067646
-30.069829,37,31.128199
-46.894791,51,31.210863
-56.414327,65,31.319127
0.861697,69,31.431245
-12.875843,16,31.457105
-107.606388,124,31.676999
-63.407782,59,31.772634
-1.220056,37,31.83269
-47.266404,34,31.887766
-446.735966,543,32.777405
3.809715,40,34.451458
-36.850603,62,34.554278
-40.309176,37,34.615296
-216.326725,282,35.081165
-2.34114,18,35.110008
3.843583,33,35.163539
-15.948695,54,35.251723
-15.434229,43,35.322319
-7.198864,63,35.423905
-0.358629,27,35.467216
-73.00959,41,35.533389
-9.049341,19,35.564416
-53.505871,37,35.624605
-8.433478,31,35.674311
-43.475998,44,35.744944
-14.649151,28,35.790322
-12.506262,28,35.835744
-19.945704,56,35.925465
-26.213598,26,35.967504
-16.132825,14,35.990284
-31.762071,60,36.087464
-107.616335,123,36.286834
-94.229589,162,36.549531
-75.93908,92,36.698893
-54.578818,63,36.801945
-11.505351,12,36.821365
-13.705911,66,36.929552
-84.862488,132,37.145625
-9.141439,39,37.208867
16.711402,26,37.251703
-18.266849,16,37.279306
-13.931662,13,37.301724
-4.598435,11,37.319649
-58.82806,49,37.398633
-9.677751,23,37.436055
-12.879608,46,37.510485
1.307359,35,37.566797
-79.970019,97,37.72264
-30.694577,39,39.295584
1.996677,13,39.316809
-8.247423,14,39.339788
-13.963202,24,39.377915
19.057127,81,39.507651
-2.909076,42,39.578025
-34.468485,52,39.663201
10.737856,40,39.729158
1.261133,14,39.751685
-17.440595,67,39.858562
-16.53072,27,39.901281
-3.232649,16,39.926926
-28.204574,61,40.023316
-40.655218,61,40.119954
-21.791176,15,40.143564
-16.291749,37,40.202406
-97.222644,60,40.299154
-33.496519,40,40.362696
-35.449773,51,40.443489
1.840992,45,40.514576
-13.250236,17,40.542168
-13.442354,13,40.562616
4.857487,17,40.589788
-55.177561,61,40.687275
-13.254367,29,40.733145
-11.490908,13,40.75406
-71.263008,58,40.84714
-43.99596,178,41.13417
-36.998643,50,41.215117
-9.204131,26,41.257011
-58.237008,118,41.447867
-53.709729,81,41.577386
-50.325415,48,41.654169
-8.141964,14,41.676745
-7.512586,35,41.73283
-1.353954,50,41.813255
-14.584311,21,41.846689
-29.268721,45,41.919263
-60.587362,35,41.975033
-20.815155,25,42.015625
-632.890211,1000,45.291075
-672.599105,1000,46.919242
-49.912581,102,47.083012
-40.560867,56,47.172414
-18.766408,29,47.218757
-74.137431,78,47.346627
-32.606229,100,49.109244
-98.611176,61,49.209276
-7.751536,72,49.326032
14.011875,21,49.360312
-49.854831,66,49.466637
-26.997599,36,49.524453
-26.341657,21,49.558192
-8.710333,21,49.592989
8.750699,40,49.658371
-10.254477,42,49.727086
-14.17601,33,49.779984
-47.210728,102,49.943514
-59.006666,47,50.019403
-17.727617,32,50.070306
-3.330944,11,50.087955
-20.454938,38,50.149185
-44.660132,59,50.243489
-32.448642,37,50.30596
-14.316175,38,50.367369
-30.932416,22,50.403309
-3.241933,36,50.461037
-13.905788,36,50.51897
-74.657582,107,50.691481
-2.642801,19,50.722706
-37.969846,29,50.769341
-3.235903,31,50.819625
-79.818476,126,51.024068
-41.869377,67,51.132319
-1.067004,31,51.182145
-32.062186,63,51.283788
-47.277584,39,51.348922
-14.017869,50,51.430532
-18.142721,18,51.459715
-9.071491,19,51.490804
-3.009474,62,51.591835
-41.485217,69,51.704084
-16.780271,25,51.745468
-38.819022,38,51.806849
-23.746798,50,51.888677
-24.905631,39,51.951954
-22.31505,20,51.985401
-2.609327,25,52.025798
-20.113233,40,52.089769
-18.987354,33,52.143085
-12.055437,35,52.199996
-79.685126,71,52.316185
3.136548,39,52.379942
-8.442981,22,52.415538
25.375395,64,54.078591
-26.157637,28,54.123738
-98.192353,107,54.29466
-36.735059,16,54.319981
-11.554999,15,54.343838
-24.815955,65,54.44711
-5.475649,8,54.45998
-429.567682,734,55.635988
-10.846968,56,55.725367
-1.642152,37,55.784372
-2.510104,59,55.878745
-11.246346,35,55.934758
-81.285171,61,56.033308
-32.609626,56,56.122773
-15.415666,18,56.152355
-645.332728,1000,59.262064
-22.479147,26,59.304475
-19.608836,38,59.366008
-15.395576,20,59.398154
-9.42285,17,59.425236
-17.988688,25,59.465443
17.554987,38,59.528075
-10.762023,43,59.597715
-10.944007,32,59.650004
-11.957352,26,59.691713
-29.483142,77,59.814632
-19.274829,47,59.889981
-17.658827,24,59.928862
-7.462546,40,59.992937
-20.838434,37,60.052654
-8.732781,11,60.070272
-47.180908,95,60.222456
-26.32588,32,60.273893
-38.373693,50,60.355805
-19.84785,31,60.405157
-43.476812,68,60.513263
-72.871145,134,60.726078
-51.823433,145,60.956366
-24.817053,32,61.007602
-17.115043,39,61.070545
-14.251186,74,61.1896
-16.158482,30,61.23752
-21.819872,52,61.322105
-24.025444,48,61.39926
-13.363315,60,61.495232
-36.105218,32,61.546275
-582.13027,1000,64.671454
-7.55347,17,64.699682
-9.744458,44,64.775323
-600.481616,1000,66.39684
-5.490697,77,66.519143
1.160764,70,66.643641
1.156483,15,66.667697
-63.857268,121,66.858435
44.701304,69,68.561798
-29.089408,41,68.626846
-15.413791,25,68.666297
-8.229843,22,68.701022
-11.68316,14,68.722983
-33.104832,39,68.784653
-12.128097,15,68.808657
-533.63859,889,70.247408
-37.739127,50,70.32993
-18.096014,77,70.454427
-24.29783,28,70.500632
-10.833907,12,70.520907
-47.316913,66,70.628192
-139.499047,160,70.886438
-18.372804,30,70.934307
-8.364816,50,71.014577
-68.353869,109,71.18981
-15.628845,22,71.225237
-72.040181,75,71.347957
8.158686,17,71.37536
11.201608,19,71.405756
-11.75172,15,71.430314
-13.944107,13,71.451923
-3.150013,24,71.491099
23.723349,64,71.594608
-30.098465,53,71.680002
-1.212728,19,71.7106
39.686187,88,73.349936
3.004347,33,73.403494
-9.142824,32,73.455072
